Quarter,Time,Tm,Detail,BUF,DEN
1.0,3:38,Broncos,Chester McGlockton 24 yard defensive fumble return (Jason Elam kick),0,7
2.0,9:51,Broncos,Clinton Portis 1 yard rush (Jason Elam kick),0,14
,2:50,Bills,Travis Henry 1 yard rush (Mike Hollis kick),7,14
3.0,9:58,Bills,Mike Hollis 38 yard field goal,10,14
,0:33,Broncos,Dwayne Carswell 1 yard pass from Brian Griese (Jason Elam kick),10,21
4.0,7:35,Bills,Josh Reed 4 yard pass from Drew Bledsoe (pass failed),16,21
,2:39,Broncos,Rod Smith 26 yard pass from Brian Griese (Jason Elam kick),16,28
,1:12,Bills,Eric Moulds 2 yard pass from Drew Bledsoe (Mike Hollis kick),23,28
