Unnamed: 0,BUF,DEN
First Downs,17,22
Rush-Yds-TDs,14-39-1,32-163-1
Cmp-Att-Yd-TD-INT,27-41-283-2-0,19-31-211-2-0
Sacked-Yards,4-31,4-32
Net Pass Yards,252,179
Total Yards,291,342
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,10-82,9-64
Third Down Conv.,6-14,3-13
Fourth Down Conv.,0-0,1-2
Time of Possession,27:13,32:47
