Quarter,Time,Tm,Detail,KAN,NYJ
1.0,12:22,Chiefs,Travis Kelce 22 yard pass from Alex Smith (Harrison Butker kick),7,0
,10:36,Chiefs,Travis Kelce 36 yard pass from Alex Smith (Harrison Butker kick),14,0
,6:10,Jets,Bilal Powell 1 yard rush (Chandler Catanzaro kick),14,7
,0:46,Jets,Josh McCown 1 yard rush (Chandler Catanzaro kick),14,14
2.0,2:49,Chiefs,Harrison Butker 36 yard field goal,17,14
,0:23,Jets,Matt Forte 11 yard pass from Josh McCown (Chandler Catanzaro kick),17,21
3.0,5:29,Jets,Chandler Catanzaro 27 yard field goal,17,24
,5:13,Chiefs,Tyreek Hill 79 yard pass from Alex Smith (Harrison Butker kick),24,24
,3:27,Jets,Chandler Catanzaro 47 yard field goal,24,27
4.0,11:23,Jets,Chandler Catanzaro 38 yard field goal,24,30
,9:13,Chiefs,Tyreek Hill 40 yard pass from Alex Smith (Harrison Butker kick),31,30
,2:15,Jets,Josh McCown 1 yard rush (Elijah McGuire run),31,38
