Unnamed: 0,CLE,ARI
First Downs,25,26
Rush-Yds-TDs,23-152-1,35-226-4
Cmp-Att-Yd-TD-INT,30-43-247-2-1,19-25-219-1-1
Sacked-Yards,1-6,0-0
Net Pass Yards,241,219
Total Yards,393,445
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,6-55,5-34
Third Down Conv.,9-14,4-8
Fourth Down Conv.,1-1,1-1
Time of Possession,30:49,29:11
