Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
2,13:48,3,9,CLE 31,0,7,"Penalty on D.J. Humphries: False Start, 5 yards (no play)",2.340,1.690
2,13:23,3,14,CLE 36,0,7,Kyler Murray pass complete deep middle to Pharoh Cooper for 17 yards (tackle by Sheldrick Redwine),1.690,4.310
2,12:52,1,10,CLE 19,0,7,Kyler Murray pass complete short middle to Charles Clay for 18 yards (tackle by Mack Wilson and Joe Schobert),4.310,6.970
2,12:06,1,1,CLE 1,0,13,"Kenyan Drake up the middle for 1 yard, touchdown",6.970,7.000
2,12:02,,,CLE 15,0,14,Zane Gonzalez kicks extra point good,0.000,0.000
2,12:02,,,ARI 35,0,14,"Zane Gonzalez kicks off 62 yards, returned by Dontrell Hilliard for 14 yards (tackle by Chase Edmonds)",0.000,-0.060
2,11:57,1,10,CLE 17,0,14,"Penalty on Taywan Taylor: Delay of Game, 5 yards (no play)",-0.060,-0.510
2,11:57,1,15,CLE 12,0,14,Kareem Hunt left end for no gain (tackle by Haason Reddick),-0.510,-1.150
2,11:16,2,15,CLE 12,0,14,Baker Mayfield pass complete deep left to Odell Beckham for 17 yards (tackle by Budda Baker),-1.150,0.870
2,10:36,1,10,CLE 29,0,14,Baker Mayfield pass complete short right to Damion Ratley for 12 yards (tackle by Joe Walker),0.870,1.660
2,10:04,1,10,CLE 41,0,14,Nick Chubb up the middle for 6 yards (tackle by Budda Baker),1.660,1.930
2,9:22,2,4,CLE 47,0,14,Nick Chubb up the middle for 17 yards (tackle by Tanner Vallejo),1.930,3.180
2,8:44,1,10,ARI 36,0,14,Nick Chubb left end for 3 yards (tackle by Jordan Hicks),3.180,3.040
2,7:58,2,7,ARI 33,6,14,"Nick Chubb left tackle for 33 yards, touchdown",3.040,7.000
2,7:50,,,ARI 15,7,14,Austin Seibert kicks extra point good,0.000,0.000
2,7:50,,,CLE 35,7,14,"Austin Seibert kicks off 67 yards, returned by Pharoh Cooper for 26 yards (tackle by Tavierre Thomas)",0.000,0.540
2,7:45,1,10,ARI 24,7,14,Kenyan Drake left end for 14 yards (tackle by Joe Schobert),0.540,1.470
2,7:21,1,10,ARI 38,7,14,Kyler Murray pass complete short left to Damiere Byrd for 2 yards (tackle by Bryan Cox),1.470,1.190
2,6:54,2,8,ARI 40,7,14,Kyler Murray pass short left intended for Charles Clay is intercepted by Mack Wilson at ARI-49 and returned for 21 yards,1.190,-3.710
2,6:45,1,10,ARI 28,7,14,Kareem Hunt up the middle for 6 yards (tackle by Caraun Reid and Joe Walker),3.710,3.980
2,6:05,2,4,ARI 22,7,14,Nick Chubb up the middle for 2 yards (tackle by Corey Peters),3.980,3.530
2,5:23,3,2,ARI 20,7,14,"Baker Mayfield pass complete short middle to Jarvis Landry for -6 yards, lateral to Baker Mayfield for no gain, lateral to Jordan Hicks for no gain",3.530,1.740
2,4:39,4,8,ARI 26,10,14,Austin Seibert 44 yard field goal good,1.740,3.000
2,4:33,,,CLE 35,10,14,"Austin Seibert kicks off 66 yards, returned by Pharoh Cooper for 14 yards (tackle by D'Ernest Johnson)",0.000,-0.320
2,4:28,1,10,ARI 13,10,14,Kenyan Drake up the middle for 1 yard (tackle by Sheldon Richardson and Porter Gustin),-0.320,-0.680
2,3:59,2,9,ARI 14,10,14,Kyler Murray pass complete short left to Damiere Byrd for 51 yards (tackle by Greedy Williams),-0.680,3.250
2,3:20,1,10,CLE 35,10,14,David Johnson right end for 5 yards (tackle by Joe Schobert),3.250,3.380
2,3:01,2,5,CLE 30,10,14,Kyler Murray pass incomplete short right,3.380,2.680
2,2:54,3,5,CLE 30,10,14,Kyler Murray pass complete short left to Damiere Byrd for 4 yards (tackle by Greedy Williams),2.680,1.890
2,2:12,,,,,,Timeout #1 by Arizona Cardinals,,
2,2:12,4,1,CLE 26,10,14,Kenyan Drake up the middle for 3 yards (tackle by Eli Ankou),1.890,4.040
2,2:00,1,10,CLE 23,10,14,Kenyan Drake right end for 6 yards (tackle by Damarious Randall),4.040,4.380
2,1:23,2,4,CLE 17,10,14,Kenyan Drake up the middle for 3 yards (tackle by Joe Schobert and Sheldrick Redwine),4.380,4.280
2,0:44,3,1,CLE 14,10,14,Kyler Murray right end for 7 yards (tackle by Sheldrick Redwine),4.280,5.600
2,0:37,,,,,,Timeout #2 by Cleveland Browns,,
2,0:37,1,7,CLE 7,10,14,Kyler Murray up the middle for 1 yard (tackle by Sheldrick Redwine),5.600,4.950
2,0:31,,,,,,Timeout #2 by Arizona Cardinals,,
2,0:31,2,6,CLE 6,10,20,"Kyler Murray pass complete short right to Dan Arnold for 6 yards, touchdown",4.950,7.000
2,0:25,,,CLE 15,10,21,Zane Gonzalez kicks extra point good,0.000,0.000
2,0:25,,,ARI 35,10,21,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
2,0:25,1,10,CLE 25,10,21,Nick Chubb up the middle for 1 yard (tackle by Jordan Hicks),0.610,0.200
Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,10,21,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CLE 25,10,21,Baker Mayfield pass complete short right to Nick Chubb for -4 yards (tackle by Tanner Vallejo),0.610,-0.480
3,14:17,2,14,CLE 21,10,21,"Baker Mayfield pass incomplete short left intended for Stephen Carlson (defended by Byron Murphy). Penalty on Byron Murphy: Defensive Pass Interference, 9 yards (no play)",-0.480,0.940
3,14:13,1,10,CLE 30,10,21,Nick Chubb up the middle for 1 yard (tackle by Chandler Jones),0.940,0.530
3,13:38,2,9,CLE 31,10,21,Baker Mayfield pass complete short left to Odell Beckham for 5 yards (tackle by Patrick Peterson),0.530,0.500
3,13:03,3,4,CLE 36,10,21,Baker Mayfield pass complete short right to Kareem Hunt for 4 yards (tackle by Joe Walker),0.500,1.600
3,12:39,1,10,CLE 40,10,21,Nick Chubb up the middle for 12 yards (tackle by Byron Murphy),1.600,2.390
3,12:05,1,10,ARI 48,10,21,Nick Chubb up the middle for 4 yards (tackle by Budda Baker),2.390,2.390
3,11:27,2,6,ARI 44,10,21,Kareem Hunt up the middle for 3 yards (tackle by Jordan Hicks),2.390,2.080
3,10:48,3,3,ARI 41,10,21,"Baker Mayfield left end for 4 yards (tackle by Byron Murphy). Penalty on Patrick Peterson: Defensive Holding, 5 yards",2.080,3.450
3,10:16,1,10,ARI 32,10,21,Nick Chubb left tackle for 29 yards (tackle by Jordan Hicks),3.450,6.510
3,9:34,1,3,ARI 3,10,21,Nick Chubb up the middle for 1 yard (tackle by Haason Reddick),6.510,5.720
3,8:59,2,2,ARI 2,16,21,"Baker Mayfield pass complete short left to Ricky Seals-Jones for 2 yards, touchdown",5.720,7.000
3,8:54,,,ARI 15,17,21,Austin Seibert kicks extra point good,0.000,0.000
3,8:54,,,CLE 35,17,21,"Austin Seibert kicks off 65 yards, returned by David Johnson for 24 yards (tackle by Dontrell Hilliard)",0.000,0.540
3,8:46,1,10,ARI 24,17,21,Kyler Murray pass complete short left to Christian Kirk for 7 yards (tackle by Greedy Williams),0.540,0.940
3,8:13,2,3,ARI 31,17,21,Kenyan Drake up the middle for 4 yards (tackle by Greedy Williams),0.940,1.270
3,7:43,1,10,ARI 35,17,21,Andy Isabella right end for -1 yards (tackle by Damarious Randall),1.270,0.590
3,7:10,2,11,ARI 34,17,21,Kyler Murray pass complete short right to Maxx Williams for 4 yards (tackle by Mack Wilson),0.590,0.430
3,6:31,3,7,ARI 38,17,21,Kyler Murray pass incomplete deep right intended for Christian Kirk,0.430,-0.850
3,6:26,4,7,ARI 38,17,21,"Andy Lee punts 48 yards, returned by Dontrell Hilliard for 9 yards (tackle by Chase Edmonds)",-0.850,-0.480
3,6:13,1,10,CLE 23,17,21,Nick Chubb left tackle for 1 yard (tackle by Cassius Marsh),0.480,0.070
3,5:36,2,9,CLE 24,17,21,Baker Mayfield pass complete short left to Kareem Hunt for 2 yards (tackle by Jalen Thompson),0.070,-0.360
3,4:58,3,7,CLE 26,17,21,Baker Mayfield pass incomplete short right intended for Jarvis Landry,-0.360,-1.630
3,4:54,4,7,CLE 26,17,21,Jamie Gillan punts 35 yards out of bounds,-1.630,-1.530
3,4:46,1,10,ARI 39,17,21,Kyler Murray pass complete deep left to Damiere Byrd for 17 yards (tackle by Greedy Williams),1.530,2.650
3,4:19,1,10,CLE 44,17,21,Kenyan Drake up the middle for no gain (tackle by Larry Ogunjobi and Bryan Cox),2.650,2.110
3,3:46,2,10,CLE 44,17,21,Kyler Murray pass complete short right to Christian Kirk for 15 yards (tackle by Damarious Randall),2.110,3.640
3,3:08,1,10,CLE 29,17,21,Kyler Murray pass complete short left to Damiere Byrd for 5 yards (tackle by Greedy Williams),3.640,3.780
3,2:25,2,5,CLE 24,17,21,Kyler Murray left end for 2 yards (tackle by Mack Wilson and Greedy Williams),3.780,3.340
3,1:48,3,3,CLE 22,17,21,"Kyler Murray pass incomplete deep right intended for Christian Kirk. Penalty on Damarious Randall: Defensive Pass Interference, 21 yards (no play)",3.340,6.970
3,1:45,1,1,CLE 1,17,27,"Kenyan Drake up the middle for 1 yard, touchdown",6.970,7.000
3,1:40,,,CLE 15,17,28,"Zane Gonzalez kicks extra point good. Penalty on Sheldrick Redwine: Defensive Offside, 5 yards",0.000,0.000
3,1:40,,,ARI 40,17,28,"Zane Gonzalez kicks off 53 yards, returned by Dontrell Hilliard for 15 yards (tackle by Kylie Fitts)",0.000,0.410
3,1:33,1,10,CLE 22,17,28,Baker Mayfield pass complete short left to Nick Chubb for 17 yards (tackle by Patrick Peterson),0.410,1.530
3,1:00,1,10,CLE 39,17,28,Nick Chubb up the middle for 5 yards (tackle by Chandler Jones and Joe Walker),1.530,1.660
3,0:15,2,5,CLE 44,17,28,Baker Mayfield pass incomplete short left intended for Kareem Hunt,1.660,0.960
3,0:08,3,5,CLE 44,17,28,Baker Mayfield pass complete short right to Kareem Hunt for 7 yards (tackle by Patrick Peterson),0.960,2.320
Quarter,Time,Down,ToGo,Location,CLE,ARI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ARI 49,17,28,Kareem Hunt left end for 5 yards (tackle by Chris Jones),2.320,2.460
4,14:27,2,5,ARI 44,17,28,Baker Mayfield pass complete short right to Jarvis Landry for 10 yards (tackle by Jordan Hicks),2.460,3.310
4,13:43,1,10,ARI 34,17,28,Baker Mayfield pass incomplete short right intended for Odell Beckham (defended by Patrick Peterson),3.310,2.770
4,13:37,2,10,ARI 34,17,28,Nick Chubb right tackle for 5 yards (tackle by Corey Peters),2.770,2.740
4,12:55,3,5,ARI 29,17,28,Baker Mayfield pass complete short left to Jarvis Landry for 2 yards (tackle by Jalen Thompson),2.740,1.770
4,12:09,4,3,ARI 27,17,28,Austin Seibert 45 yard field goal no good,1.770,-1.270
4,12:05,1,10,ARI 35,17,28,Kyler Murray left end for 3 yards (tackle by Juston Burris),1.270,1.130
4,11:34,2,7,ARI 38,17,28,Kyler Murray pass complete short left to Damiere Byrd for 7 yards (tackle by Greedy Williams),1.130,1.930
4,10:51,1,10,ARI 45,17,28,Kenyan Drake up the middle for 12 yards (tackle by Damarious Randall),1.930,2.720
4,10:08,1,10,CLE 43,17,28,Kenyan Drake up the middle for 7 yards (tackle by Juston Burris),2.720,3.120
4,9:25,2,3,CLE 36,17,28,Kenyan Drake up the middle for no gain (tackle by Larry Ogunjobi and Mack Wilson),3.120,2.410
4,8:48,3,3,CLE 36,17,28,Kyler Murray pass complete short right to Christian Kirk for 10 yards,2.410,3.840
4,8:12,1,10,CLE 26,17,28,Kenyan Drake up the middle for 9 yards (tackle by Joe Schobert),3.840,4.640
4,7:31,2,1,CLE 17,17,34,"Kenyan Drake up the middle for 17 yards, touchdown",4.640,7.000
4,7:25,,,CLE 15,17,35,Zane Gonzalez kicks extra point good,0.000,0.000
4,7:25,,,ARI 35,17,35,"Zane Gonzalez kicks off 65 yards, touchback.",0.000,0.610
4,7:25,1,10,CLE 25,17,35,"Baker Mayfield pass complete deep middle to Ricky Seals-Jones for 26 yards (tackle by Joe Walker and Budda Baker). Ricky Seals-Jones fumbles (forced by Joe Walker), recovered by Jalen Thompson at ARI-46 and returned for 24 yards (tackle by Kareem Hunt)",0.610,-3.580
4,7:13,1,10,CLE 30,17,35,Kyler Murray pass incomplete short left intended for Larry Fitzgerald,3.580,3.030
4,7:07,2,10,CLE 30,17,35,Kenyan Drake right end for 21 yards (tackle by Damarious Randall),3.030,5.140
4,6:25,1,9,CLE 9,17,35,Kenyan Drake up the middle for 3 yards (tackle by Eli Ankou),5.140,4.950
4,5:38,2,6,CLE 6,17,35,Kenyan Drake up the middle for 3 yards (tackle by Sheldrick Redwine),4.950,4.720
4,5:28,,,,,,Timeout #1 by Cleveland Browns,,
4,5:28,3,3,CLE 3,17,35,Kyler Murray pass incomplete short right,4.720,3.040
4,5:21,4,3,CLE 3,17,38,Zane Gonzalez 21 yard field goal good,3.040,3.000
4,5:18,,,ARI 35,17,38,"Zane Gonzalez kicks off 65 yards, returned by Dontrell Hilliard for 18 yards (tackle by Jalen Thompson). Penalty on Porter Gustin: Offensive Holding, 9 yards",0.000,-0.380
4,5:12,1,10,CLE 9,17,38,Baker Mayfield pass complete short middle to Kareem Hunt for 9 yards (tackle by Joe Walker),-0.380,0.140
4,4:52,2,1,CLE 18,17,38,Baker Mayfield pass incomplete short right intended for Demetrius Harris,0.140,-0.370
4,4:49,3,1,CLE 18,17,38,Baker Mayfield pass complete short left to Odell Beckham for 5 yards (tackle by Patrick Peterson),-0.370,0.480
4,4:45,1,10,CLE 23,17,38,Baker Mayfield pass complete short right to Jarvis Landry for 9 yards (tackle by Byron Murphy),0.480,1.150
4,4:24,2,1,CLE 32,17,38,Baker Mayfield pass incomplete deep right intended for Jarvis Landry,1.150,0.430
4,4:19,3,1,CLE 32,17,38,Baker Mayfield right tackle for 7 yards (tackle by Joe Walker),0.430,1.530
4,3:58,1,10,CLE 39,17,38,"Baker Mayfield pass complete short middle to Kareem Hunt for 10 yards (tackle by Chris Jones). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",1.530,0.870
4,3:50,1,20,CLE 29,17,38,Baker Mayfield pass complete short left to Odell Beckham for 8 yards (tackle by Jalen Thompson),0.870,0.720
4,3:26,2,12,CLE 37,17,38,Baker Mayfield pass complete short middle to Demetrius Harris for 13 yards (tackle by Budda Baker),0.720,2.260
4,3:03,1,10,CLE 50,17,38,Baker Mayfield pass complete short middle to Kareem Hunt for 16 yards (tackle by Chris Jones),2.260,3.310
4,2:43,1,10,ARI 34,17,38,Baker Mayfield spiked the ball,3.310,2.770
4,2:42,2,10,ARI 34,17,38,Baker Mayfield pass complete short left to Kareem Hunt for 8 yards (tackle by Chandler Jones),2.770,3.140
4,2:22,3,2,ARI 26,17,38,Baker Mayfield pass complete short left to Odell Beckham for 10 yards (tackle by Patrick Peterson). Penalty on Cassius Marsh: Defensive Offside (Declined),3.140,4.510
4,2:15,1,10,ARI 16,17,38,Baker Mayfield pass incomplete deep right intended for Odell Beckham,4.510,3.900
4,2:10,2,10,ARI 16,17,38,Baker Mayfield pass complete short middle to Odell Beckham for 4 yards (tackle by Chris Jones and Cassius Marsh),3.900,3.730
4,2:00,3,6,ARI 12,17,38,Baker Mayfield pass incomplete short right intended for Jarvis Landry (defended by Patrick Peterson),3.730,2.660
4,1:53,4,6,ARI 12,17,38,Baker Mayfield pass complete short middle to Odell Beckham for 11 yards (tackle by Jordan Hicks),2.660,6.970
4,1:32,1,1,ARI 1,17,38,Baker Mayfield pass incomplete short left intended for KhaDarel Hodge (defended by Chris Jones),6.970,5.910
4,1:28,2,1,ARI 1,17,38,Baker Mayfield pass incomplete short middle intended for Ricky Seals-Jones,5.910,5.170
4,1:24,,,,,,Timeout #1 by Arizona Cardinals,,
4,1:24,3,1,ARI 1,23,38,"Baker Mayfield pass complete short right to Ricky Seals-Jones for 1 yard, touchdown",5.170,7.000
4,1:21,,,ARI 15,24,38,Austin Seibert kicks extra point good,0.000,0.000
4,1:21,,,,,,Timeout #2 by Arizona Cardinals,,
4,1:21,,,CLE 35,24,38,"Jamie Gillan kicks onside 10 yards, returned by Larry Fitzgerald for no gain",0.000,2.590
4,1:21,1,10,CLE 45,24,38,David Johnson up the middle for 2 yards (tackle by Sione Takitaki),2.590,2.310
4,0:36,2,8,CLE 43,24,38,Kyler Murray kneels for -2 yards,2.310,1.360
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
