Quarter,Time,Tm,Detail,CLE,ARI
1.0,10:09,Cardinals,Kenyan Drake 5 yard rush (Zane Gonzalez kick),0,7
2.0,12:02,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),0,14
,7:50,Browns,Nick Chubb 33 yard rush (Austin Seibert kick),7,14
,4:33,Browns,Austin Seibert 44 yard field goal,10,14
,0:25,Cardinals,Dan Arnold 6 yard pass from Kyler Murray (Zane Gonzalez kick),10,21
3.0,8:54,Browns,Ricky Seals-Jones 2 yard pass from Baker Mayfield (Austin Seibert kick),17,21
,1:40,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),17,28
4.0,7:25,Cardinals,Kenyan Drake 17 yard rush (Zane Gonzalez kick),17,35
,5:18,Cardinals,Zane Gonzalez 21 yard field goal,17,38
,1:21,Browns,Ricky Seals-Jones 1 yard pass from Baker Mayfield (Austin Seibert kick),24,38
