Quarter,Time,Tm,Detail,TEN,NYG
1,2:43,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),7,0
3,2:20,Titans,Derrick Henry 1 yard rush (Ryan Succop kick),14,0
4,5:06,Titans,Ryan Succop 22 yard field goal,17,0
