Quarter,Time,Tm,Detail,NWE,OAK
1.0,9:09,Patriots,Adam Vinatieri 36 yard field goal,3,0
,0:51,Raiders,Sebastian Janikowski 39 yard field goal,3,3
2.0,9:58,Raiders,Zack Crockett 2 yard rush (Sebastian Janikowski kick),3,10
,4:16,Patriots,Adam Vinatieri 31 yard field goal,6,10
,0:52,Raiders,Rich Gannon 2 yard rush (Sebastian Janikowski kick),6,17
3.0,5:18,Raiders,Zack Crockett 2 yard rush (Sebastian Janikowski kick),6,24
,1:27,Patriots,Tedy Bruschi 48 yard interception return (Adam Vinatieri kick),13,24
4.0,1:13,Raiders,Sebastian Janikowski 28 yard field goal,13,27
,0:59,Patriots,Kevin Faulk 86 yard kickoff return (Adam Vinatieri kick),20,27
