Unnamed: 0,NWE,OAK
First Downs,12,22
Rush-Yds-TDs,17-48-0,31-97-3
Cmp-Att-Yd-TD-INT,18-30-172-0-0,26-38-297-0-1
Sacked-Yards,4-25,1-8
Net Pass Yards,147,289
Total Yards,195,386
Fumbles-Lost,2-1,1-0
Turnovers,1,1
Penalties-Yards,7-34,12-115
Third Down Conv.,4-12,7-14
Fourth Down Conv.,1-3,1-1
Time of Possession,23:23,36:37
