Unnamed: 0,NOR,SEA
First Downs,20,17
Rush-Yds-TDs,26-96-0,33-151-1
Cmp-Att-Yd-TD-INT,29-47-274-1-1,12-23-137-2-0
Sacked-Yards,2-11,3-18
Net Pass Yards,263,119
Total Yards,359,270
Fumbles-Lost,3-3,2-0
Turnovers,4,0
Penalties-Yards,11-114,3-20
Third Down Conv.,10-19,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,34:39,25:21
