Quarter,Time,Tm,Detail,NOR,SEA
1.0,5:20,Saints,John Carney 33 yard field goal,3,0
2.0,6:52,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),3,7
,5:43,Seahawks,Koren Robinson 35 yard pass from Matt Hasselbeck (Josh Brown kick),3,14
,0:17,Seahawks,Shaun Alexander 10 yard pass from Matt Hasselbeck (Josh Brown kick),3,21
3.0,6:41,Seahawks,Josh Brown 37 yard field goal,3,24
4.0,8:47,Saints,Joe Horn 2 yard pass from Aaron Brooks (John Carney kick),10,24
,1:01,Seahawks,Josh Brown 25 yard field goal,10,27
