Quarter,Time,Tm,Detail,ARI,SFO
1.0,10:31,Cardinals,Zane Gonzalez 26 yard field goal,3,0
,4:04,Cardinals,Larry Fitzgerald 5 yard pass from Kyler Murray (Zane Gonzalez kick failed),9,0
2.0,9:03,Cardinals,Pharoh Cooper 5 yard pass from Kyler Murray (Zane Gonzalez kick),16,0
,7:52,49ers,Ross Dwelley 4 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),16,7
,0:00,49ers,Chase McLaughlin 43 yard field goal,16,10
3.0,11:07,49ers,Ross Dwelley 5 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),16,17
,2:54,Cardinals,Zane Gonzalez 43 yard field goal,19,17
4.0,12:14,49ers,Kendrick Bourne 2 yard pass from Jimmy Garoppolo (pass failed),19,23
,6:30,Cardinals,Kyler Murray 22 yard rush (Zane Gonzalez kick),26,23
,0:31,49ers,Jeff Wilson 25 yard pass from Jimmy Garoppolo (Chase McLaughlin kick),26,30
,0:00,49ers,D.J. Reed 5 yard fumble return,26,36
