Unnamed: 0,BAL,CIN
First Downs,16,20
Rush-Yds-TDs,17-55-1,39-146-1
Cmp-Att-Yd-TD-INT,18-32-195-0-2,20-33-224-1-0
Sacked-Yards,4-35,1-1
Net Pass Yards,160,223
Total Yards,215,369
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,7-80,6-40
Third Down Conv.,1-10,8-18
Fourth Down Conv.,0-1,0-2
Time of Possession,20:00,40:00
