Quarter,Time,Tm,Detail,PHI,DAL
1.0,10:44,Eagles,David Akers 34 yard field goal,3,0
,7:46,Cowboys,Terrell Owens 72 yard pass from Tony Romo (Nick Folk kick),3,7
,2:58,Eagles,David Akers 44 yard field goal,6,7
,2:45,Cowboys,Felix Jones 98 yard kickoff return (Nick Folk kick),6,14
2.0,14:55,Eagles,Brian Westbrook 6 yard pass from Donovan McNabb (David Akers kick),13,14
,14:41,Eagles,Chris Gocong defensive fumble recovery in end zone (David Akers kick),20,14
,10:02,Cowboys,Terrell Owens 4 yard pass from Tony Romo (Nick Folk kick),20,21
,7:38,Eagles,Brian Westbrook 1 yard rush (David Akers kick),27,21
,0:45,Eagles,David Akers 22 yard field goal,30,21
,0:03,Cowboys,Nick Folk 51 yard field goal,30,24
3.0,5:08,Cowboys,Marion Barber III 17 yard pass from Tony Romo (Nick Folk kick),30,31
4.0,14:17,Eagles,Brian Westbrook 1 yard rush (David Akers kick),37,31
,10:29,Cowboys,Nick Folk 47 yard field goal,37,34
,4:35,Cowboys,Marion Barber III 1 yard rush (Nick Folk kick),37,41
