Unnamed: 0,PHI,DAL
First Downs,23,20
Rush-Yds-TDs,23-78-2,24-68-1
Cmp-Att-Yd-TD-INT,25-37-281-1-0,21-30-312-3-1
Sacked-Yards,4-22,0-0
Net Pass Yards,259,312
Total Yards,337,380
Fumbles-Lost,3-1,2-1
Turnovers,1,2
Penalties-Yards,5-44,10-108
Third Down Conv.,5-12,6-10
Fourth Down Conv.,0-1,0-0
Time of Possession,30:32,29:28
