Quarter,Time,Down,ToGo,Location,DET,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 61 yards, returned by Darren McFadden for 30 yards (tackle by Tavon Wilson)",0.000,-1.200
1,14:53,1,10,DAL 34,0,0,"Dak Prescott pass incomplete short right intended for Cole Beasley. Penalty on Travis Frederick: Ineligible Downfield Pass, 5 yards (no play)",1.200,0.870
1,14:47,1,15,DAL 29,0,0,Ezekiel Elliott right tackle for no gain (tackle by Tahir Whitehead and Tyrunn Walker),0.870,-0.020
1,14:09,2,15,DAL 29,0,0,Dak Prescott pass complete short right to Dez Bryant for 18 yards (tackle by Nevin Lawson),-0.020,2.060
1,13:29,1,10,DAL 47,0,0,Dak Prescott pass complete short left to Cole Beasley for 4 yards (tackle by Johnson Bademosi and Rafael Bush),2.060,2.060
1,12:52,2,6,DET 49,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Glover Quin),2.060,1.880
1,12:17,3,2,DET 45,0,0,Dak Prescott pass complete short right to Cole Beasley for 5 yards,1.880,2.920
1,11:44,1,10,DET 40,0,0,Dak Prescott pass complete short right to Jason Witten for 23 yards (tackle by Johnson Bademosi),2.920,4.440
1,11:44,1,10,DET 17,0,0,"Penalty on Jason Witten: False Start, 5 yards (no play)",4.440,4.110
1,10:48,1,15,DET 22,0,0,Dak Prescott pass incomplete short left intended for Cole Beasley,4.110,3.220
1,10:44,2,15,DET 22,0,0,Ezekiel Elliott middle for 1 yard (tackle by Tavon Wilson and Kerry Hyder),3.220,2.680
1,10:02,3,14,DET 21,0,6,"Dak Prescott pass complete deep left to Brice Butler for 21 yards, touchdown",2.680,7.000
1,9:57,,,DET 15,0,7,Dan Bailey kicks extra point good,0.000,0.000
1,9:57,,,DAL 35,0,7,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
1,9:57,1,10,DET 25,0,7,Matthew Stafford pass complete short middle to Anquan Boldin for 9 yards (tackle by Anthony Hitchens),0.610,1.280
1,9:22,2,1,DET 34,0,7,Zach Zenner middle for 20 yards (tackle by Barry Church and Byron Jones). Penalty on Benson Mayowa: Defensive Offside (Declined),1.280,2.520
1,8:53,1,10,DAL 46,0,7,Matthew Stafford pass incomplete short middle intended for Eric Ebron,2.520,1.980
1,8:47,2,10,DAL 46,0,7,Matthew Stafford pass complete short right to Zach Zenner for 12 yards (tackle by Barry Church),1.980,3.310
1,8:02,1,10,DAL 34,0,7,Matthew Stafford pass complete short right to Zach Zenner for 13 yards (tackle by Barry Church),3.310,4.170
1,7:14,1,10,DAL 21,0,7,Matthew Stafford pass incomplete deep right intended for Marvin Jones (defended by Anthony Brown),4.170,3.630
1,7:08,2,10,DAL 21,0,7,Zach Zenner middle for 11 yards (tackle by Randy Gregory),3.630,4.910
1,6:23,1,10,DAL 10,0,7,"Penalty on Anquan Boldin: False Start, 5 yards (no play)",4.910,4.370
1,6:03,1,15,DAL 15,0,7,Matthew Stafford pass complete short middle to Golden Tate for 8 yards (tackle by Orlando Scandrick),4.370,4.760
1,5:28,2,7,DAL 7,6,7,"Zach Zenner middle for 7 yards, touchdown",4.760,7.000
1,5:23,,,DAL 15,7,7,"Matt Prater kicks extra point good. Penalty on Anthony Brown: Roughing the Kicker, 15 yards",0.000,0.000
1,5:23,,,,7,7,"Matt Prater kicks off 50 yards, touchback",0.000,-0.610
1,5:23,1,10,DAL 25,7,7,Dak Prescott pass complete short right to Terrance Williams for 6 yards (tackle by DeAndre Levy),0.610,0.870
1,4:45,2,4,DAL 31,7,7,Ezekiel Elliott right guard for 7 yards (tackle by DeAndre Levy),0.870,1.470
1,4:06,1,10,DAL 38,7,7,"Penalty on Brice Butler: False Start, 5 yards (no play)",1.470,1.140
1,3:46,1,15,DAL 33,7,7,Dak Prescott left tackle for 12 yards (tackle by Tahir Whitehead),1.140,1.870
