Unnamed: 0,DET,DAL
First Downs,23,23
Rush-Yds-TDs,20-90-3,30-164-2
Cmp-Att-Yd-TD-INT,26-46-260-0-1,16-21-222-4-0
Sacked-Yards,4-31,1-11
Net Pass Yards,229,211
Total Yards,319,375
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,5-62,8-47
Third Down Conv.,5-12,4-8
Fourth Down Conv.,2-2,0-0
Time of Possession,30:43,29:17
