Quarter,Time,Tm,Detail,DET,DAL
1.0,9:57,Cowboys,Brice Butler 21 yard pass from Dak Prescott (Dan Bailey kick),0,7
,5:23,Lions,Zach Zenner 7 yard rush (Matt Prater kick),7,7
,2:49,Cowboys,Ezekiel Elliott 55 yard rush (Dan Bailey kick),7,14
2.0,13:32,Lions,Matthew Stafford 1 yard rush (Matt Prater kick),14,14
,7:40,Lions,Zach Zenner 5 yard rush (Matt Prater kick),21,14
,1:04,Cowboys,Dez Bryant 25 yard pass from Dak Prescott (Dan Bailey kick),21,21
3.0,10:19,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),21,28
,4:03,Cowboys,Jason Witten 10 yard pass from Dez Bryant (Dan Bailey kick),21,35
4.0,12:12,Cowboys,Dez Bryant 19 yard pass from Dak Prescott (Dan Bailey kick),21,42
