Quarter,Time,Tm,Detail,NWE,BUF
1.0,9:45,Patriots,Wes Welker 14 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,6:01,Patriots,Rob Gronkowski 1 yard pass from Tom Brady (Stephen Gostkowski kick),14,0
2.0,6:01,Patriots,Rob Gronkowski 26 yard pass from Tom Brady (Stephen Gostkowski kick),21,0
,1:56,Bills,Stevie Johnson 11 yard pass from Ryan Fitzpatrick (Rian Lindell kick),21,7
,0:03,Bills,Rian Lindell 42 yard field goal,21,10
3.0,9:34,Bills,Scott Chandler 3 yard pass from Ryan Fitzpatrick (Rian Lindell kick),21,17
,4:51,Patriots,Stephen Gostkowski 23 yard field goal,24,17
4.0,10:36,Bills,Fred Jackson 1 yard rush (Rian Lindell kick),24,24
,10:22,Bills,Drayton Florence 27 yard interception return (Rian Lindell kick),24,31
,3:25,Patriots,Wes Welker 6 yard pass from Tom Brady (Stephen Gostkowski kick),31,31
,0:00,Bills,Rian Lindell 28 yard field goal,31,34
