Unnamed: 0,IND,TEN
First Downs,20,28
Rush-Yds-TDs,23-133-2,27-88-2
Cmp-Att-Yd-TD-INT,18-30-260-2-2,27-44-367-2-2
Sacked-Yards,3-15,3-22
Net Pass Yards,245,345
Total Yards,378,433
Fumbles-Lost,1-0,0-0
Turnovers,2,2
Penalties-Yards,11-71,6-55
Third Down Conv.,4-11,4-13
Fourth Down Conv.,1-1,1-1
Time of Possession,25:01,34:59
