Quarter,Time,Tm,Detail,IND,TEN
1.0,5:42,Colts,Frank Gore 1 yard rush (Adam Vinatieri kick),7,0
2.0,12:59,Colts,Dwight Lowery 69 yard interception return (Adam Vinatieri kick),14,0
,8:29,Titans,Ryan Succop 38 yard field goal,14,3
,0:19,Titans,Kendall Wright 7 yard pass from Marcus Mariota (Ryan Succop kick),14,10
3.0,9:51,Titans,Antonio Andrews 8 yard rush (Ryan Succop kick),14,17
,9:36,Titans,Dorial Green-Beckham 3 yard pass from Marcus Mariota (Ryan Succop kick),14,24
,3:04,Titans,Ryan Succop 21 yard field goal,14,27
4.0,6:49,Colts,Phillip Dorsett 35 yard pass from Andrew Luck (Adam Vinatieri kick),21,27
,5:53,Colts,Donte Moncrief 11 yard pass from Andrew Luck (Adam Vinatieri kick),28,27
,2:38,Colts,Frank Gore 6 yard rush (Adam Vinatieri kick),35,27
,0:47,Titans,Jalston Fowler 1 yard rush (run failed),35,33
