Quarter,Time,Tm,Detail,HOU,JAX
1.0,8:20,Texans,Ka'imi Fairbairn 52 yard field goal,3,0
2.0,5:55,Texans,Darren Fells 1 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),9,0
,1:48,Jaguars,Josh Lambo 30 yard field goal,9,3
3.0,4:57,Texans,Ka'imi Fairbairn 42 yard field goal,12,3
,0:31,Texans,Duke Johnson 1 yard rush (Ka'imi Fairbairn kick),19,3
4.0,4:19,Texans,DeAndre Hopkins 1 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),26,3
