Quarter,Time,Tm,Detail,BUF,CIN
1.0,11:44,Bills,Rian Lindell 21 yard field goal,3,0
,5:37,Bills,Rian Lindell 24 yard field goal,6,0
2.0,14:29,Bengals,Tab Perry 2 yard rush (Shayne Graham kick),6,7
,9:37,Bills,Lee Evans 3 yard pass from Kelly Holcomb (Rian Lindell kick),13,7
,1:17,Bengals,Chad Johnson 41 yard pass from Carson Palmer (Shayne Graham kick),13,14
3.0,4:09,Bengals,Shayne Graham 31 yard field goal,13,17
,3:57,Bills,Terrence McGee 99 yard kickoff return (Rian Lindell kick),20,17
,1:36,Bengals,Chris Henry 27 yard pass from Carson Palmer (Shayne Graham kick),20,24
4.0,11:29,Bills,Kelly Holcomb 1 yard rush (Rian Lindell kick),27,24
,7:27,Bengals,Shayne Graham 27 yard field goal,27,27
,0:58,Bills,Rian Lindell 22 yard field goal,30,27
,0:35,Bills,Terrence McGee 46 yard interception return (Rian Lindell kick),37,27
