Unnamed: 0,BUF,CIN
First Downs,19,23
Rush-Yds-TDs,25-67-1,23-104-1
Cmp-Att-Yd-TD-INT,24-31-308-1-1,27-38-283-2-2
Sacked-Yards,3-20,2-13
Net Pass Yards,288,270
Total Yards,355,374
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,6-55,3-15
Third Down Conv.,5-11,5-9
Fourth Down Conv.,0-1,0-0
Time of Possession,30:12,29:48
