Quarter,Time,Down,ToGo,Location,NWE,LAC,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,1,10,NWE 35,0,0,"Jake Bailey kicks off 65 yards, touchback.",,
1,15:00,1,10,LAC 25,0,0,Justin Herbert pass complete short right to Jared Cook for 12 yards (tackle by Ja'Whaun Bentley),,
1,14:18,1,10,LAC 37,0,0,Austin Ekeler right end for 6 yards (tackle by Dont'a Hightower and Adrian Phillips),,
1,13:37,2,4,LAC 43,0,0,Justin Herbert pass complete deep right to Keenan Allen for 41 yards (tackle by J.C. Jackson and Devin McCourty),,
1,13:07,1,10,NWE 16,0,0,Justin Herbert pass incomplete short left intended for Keenan Allen (defended by Jalen Mills),,
1,12:58,2,10,NWE 16,0,0,Justin Jackson right tackle for 3 yards (tackle by Kyle Dugger and Christian Barmore),,
1,12:29,3,7,NWE 13,0,0,Justin Herbert pass complete short right to Austin Ekeler for 6 yards (tackle by Kyle Van Noy and Adrian Phillips),,
1,11:43,4,1,NWE 7,0,0,Austin Ekeler up the middle for 2 yards (tackle by Kyle Dugger and Deatrich Wise),,
1,11:03,1,5,NWE 5,0,6,"Austin Ekeler up the middle for 5 yards, touchdown",,
1,10:54,,,NWE 15,0,7,Dustin Hopkins kicks extra point good,,
1,10:54,,,LAC 35,0,7,"Dustin Hopkins kicks off 65 yards, touchback.",,
1,10:54,1,10,NWE 25,0,7,Damien Harris left tackle for 3 yards (tackle by Linval Joseph),,
1,10:12,2,7,NWE 28,0,7,Mac Jones pass incomplete short right intended for Jakob Johnson,,
1,10:08,3,7,NWE 28,0,7,Mac Jones pass complete short right to Kendrick Bourne for 14 yards (tackle by Nasir Adderley),,
1,9:39,1,10,NWE 42,0,7,Mac Jones pass complete deep right to Nelson Agholor for 44 yards (tackle by Derwin James),,
1,8:52,1,10,LAC 14,0,7,Rhamondre Stevenson left end for -1 yards (tackle by Kyzir White),,
1,8:13,2,11,LAC 15,0,7,Mac Jones pass incomplete short left intended for Damien Harris,,
1,8:09,3,11,LAC 15,0,7,Mac Jones scrambles up the middle for 3 yards (tackle by Kyzir White),,
1,8:09,4,8,LAC 12,0,7,"Penalty on Michael Davis: Defensive Holding, 5 yards (accepted) (no play)",,
1,7:42,1,7,LAC 7,0,7,Damien Harris up the middle for 4 yards (tackle by Kyzir White and Linval Joseph),,
1,7:10,,,,,,Timeout #1 by Los Angeles Chargers,,
1,7:10,2,3,LAC 3,0,7,Mac Jones pass complete short right to Jakob Johnson for 2 yards (tackle by Kyzir White),,
1,6:32,3,1,LAC 1,6,7,"Damien Harris left guard for 1 yard, touchdown",,
1,6:31,,,LAC 15,7,7,Nick Folk kicks extra point good,,
1,6:26,,,NWE 35,7,7,"Jake Bailey kicks off 65 yards, returned by Andre Roberts for 17 yards (tackle by Joejuan Williams)",,
1,6:22,1,10,LAC 17,7,7,Austin Ekeler right tackle for 3 yards (tackle by Matt Judon and Ja'Whaun Bentley),,
1,5:42,2,7,LAC 20,7,7,Justin Herbert pass complete short left to Keenan Allen for 1 yard (tackle by Josh Uche),,
1,5:01,3,6,LAC 21,7,7,Justin Herbert pass complete short left to Jared Cook for 13 yards (tackle by Kyle Dugger),,
1,4:29,1,10,LAC 34,7,7,Justin Herbert pass incomplete short right intended for Mike Williams (defended by Deatrich Wise),,
1,4:23,2,10,LAC 34,7,7,Justin Herbert sacked by Matt Judon for -4 yards,,
1,3:40,3,14,LAC 30,7,7,Justin Herbert scrambles up the middle for 10 yards (tackle by Kyle Dugger),,
1,2:55,4,4,LAC 40,7,7,"Ty Long punts 52 yards, returned by Gunner Olszewski for 21 yards (tackle by Stephen Anderson)",,
1,2:43,1,10,NWE 29,7,7,Mac Jones pass complete short right to Rhamondre Stevenson for 5 yards (tackle by Kyzir White),,
1,2:04,2,5,NWE 34,7,7,Rhamondre Stevenson left guard for 8 yards (tackle by Jerry Tillery),,
