Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kendrick Bourne,NWE,7,4,38,0,2,28,7.0,10,2.5,9.1,0,,1,14.3,0,72.3
Jakobi Meyers,NWE,9,4,36,0,3,25,6.3,11,2.8,9.4,0,,0,0.0,0,55.8
Nelson Agholor,NWE,6,3,60,0,1,50,16.7,10,3.3,21.8,0,,0,0.0,0,85.4
N'Keal Harry,NWE,2,2,30,0,2,30,15.0,0,0.0,15.0,0,,0,0.0,0,118.7
Jonnu Smith,NWE,2,2,13,0,1,-3,-1.5,16,8.0,-1.5,1,2.0,0,0.0,0,93.7
Hunter Henry,NWE,3,1,33,0,1,18,18.0,15,15.0,7.7,0,,0,0.0,0,75.7
Jakob Johnson,NWE,2,1,2,0,,0,0.0,2,2.0,0.5,0,,0,0.0,0,56.2
Rhamondre Stevenson,NWE,2,1,5,0,0,-6,-6.0,11,11.0,-1.5,0,,0,0.0,0,56.2
Damien Harris,NWE,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,11,6,77,1,4,46,7.7,31,5.2,8.8,0,,0,0.0,0,107.0
Austin Ekeler,LAC,10,6,60,0,4,13,2.2,47,7.8,5.2,1,6.0,2,20.0,1,37.5
Jared Cook,LAC,5,2,25,0,2,14,7.0,11,5.5,7.0,0,,0,0.0,1,16.7
Mike Williams,LAC,5,2,19,0,,15,7.5,4,2.0,11.6,0,,0,0.0,0,51.2
Jalen Guyton,LAC,2,1,18,0,1,18,18.0,0,0.0,21.0,0,,0,0.0,0,81.2
Josh Palmer,LAC,1,1,24,1,1,24,24.0,0,0.0,24.0,0,,0,0.0,0,158.3
