Quarter,Time,Down,ToGo,Location,NYJ,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYJ 25,0,0,Sam Darnold pass complete short left to Jamison Crowder for 8 yards (tackle by Fabian Moreau),0.610,1.140
1,14:48,2,2,NYJ 33,0,0,Le'Veon Bell right guard for 4 yards (tackle by Matthew Ioannidis and Jonathan Allen),1.140,1.400
1,14:22,1,10,NYJ 37,0,0,"Sam Darnold pass complete short middle to Demaryius Thomas for 9 yards (tackle by Fabian Moreau and Cole Holcomb). Penalty on Montez Sweat: Illegal Use of Hands, 5 yards (no play)",1.400,1.730
1,13:57,1,10,NYJ 42,0,0,Le'Veon Bell left guard for 9 yards (tackle by Landon Collins). Penalty on Ryan Anderson: Defensive Offside (Declined),1.730,2.400
1,13:28,2,1,WAS 49,0,0,Sam Darnold pass complete short right to Jamison Crowder for 17 yards (tackle by Montae Nicholson),2.400,3.450
1,13:05,1,10,WAS 32,0,0,Le'Veon Bell right tackle for no gain (tackle by Landon Collins),3.450,2.900
1,12:32,2,10,WAS 32,0,0,Sam Darnold pass complete short right to Le'Veon Bell for 12 yards (tackle by Da'Ron Payne),2.900,4.240
1,11:58,1,10,WAS 20,6,0,"Sam Darnold pass complete deep left to Daniel Brown for 20 yards, touchdown",4.240,7.000
1,11:50,,,WAS 15,6,0,Sam Ficken kicks extra point no good wide left,0.000,-1.000
1,11:50,,,NYJ 35,6,0,"Sam Ficken kicks off 62 yards, returned by Steven Sims for 24 yards (tackle by Frankie Luvu and Daniel Brown)",0.000,0.740
1,11:45,1,10,WAS 27,6,0,Dwayne Haskins pass complete short left to Adrian Peterson for 6 yards (tackle by Marcus Maye and James Burgess),0.740,1.010
1,11:20,2,4,WAS 33,6,0,Adrian Peterson right guard for 8 yards (tackle by Marcus Maye),1.010,1.660
1,10:38,1,10,WAS 41,6,0,"Dwayne Haskins aborted snap, recovered by Dwayne Haskins at WAS-37 and returned for -4 yards",1.660,0.580
1,10:03,2,14,WAS 37,6,0,Dwayne Haskins pass complete short left to Adrian Peterson for -1 yards (tackle by James Burgess),0.580,-0.230
1,9:24,3,15,WAS 36,6,0,Dwayne Haskins pass incomplete short left intended for Terry McLaurin,-0.230,-0.980
1,9:20,4,15,WAS 36,6,0,"Tress Way punts 55 yards, returned by Braxton Berrios for 16 yards (tackle by Michael Burton and Troy Apke)",-0.980,-0.610
1,9:10,1,10,NYJ 25,6,0,Le'Veon Bell left end for 5 yards (tackle by Jonathan Bostic),0.610,0.740
1,8:38,2,5,NYJ 30,6,0,Sam Darnold pass complete short right to Ryan Griffin for 16 yards (tackle by Cole Holcomb),0.740,1.990
1,8:19,1,10,NYJ 46,6,0,Ty Montgomery left end for 2 yards (tackle by Landon Collins),1.990,1.720
1,7:52,2,8,NYJ 48,6,0,"Sam Darnold sacked by Ryan Kerrigan for -3 yards. Sam Darnold fumbles (forced by Ryan Kerrigan), recovered by Trevon Wesco at NYJ-44 (tackle by Cole Holcomb)",1.720,0.630
1,7:01,3,11,NYJ 45,6,0,Le'Veon Bell right guard for 5 yards (tackle by Jonathan Bostic and Cole Holcomb),0.630,-0.060
1,6:31,4,6,NYJ 50,6,0,Lac Edwards punts 36 yards out of bounds,-0.060,0.280
1,6:24,1,10,WAS 14,6,0,Adrian Peterson right tackle for 4 yards (tackle by Blessuan Austin),-0.280,-0.210
1,6:02,2,6,WAS 18,6,0,Dwayne Haskins pass complete short left to Hale Hentges for no gain (tackle by Blessuan Austin),-0.210,-0.920
1,5:21,3,6,WAS 18,6,0,Dwayne Haskins sacked by Jamal Adams for -4 yards,-0.920,-2.470
1,4:36,4,10,WAS 14,6,0,"Tress Way punts 60 yards, returned by Braxton Berrios for 12 yards (tackle by Michael Burton and Troy Apke)",-2.470,-1.470
1,4:25,1,10,NYJ 38,6,0,Bilal Powell up the middle for no gain (tackle by Da'Ron Payne and Landon Collins),1.470,0.920
1,3:47,2,10,NYJ 38,6,0,Sam Darnold pass complete short left to Bilal Powell for 5 yards (tackle by Shaun Dion Hamilton),0.920,0.890
1,3:12,3,5,NYJ 43,6,0,Sam Darnold pass complete short left to Demaryius Thomas for 13 yards (tackle by Jimmy Moreland),0.890,2.650
1,2:33,1,10,WAS 44,6,0,Sam Darnold pass incomplete deep middle intended for Jamison Crowder (defended by Jimmy Moreland),2.650,2.110
1,2:29,2,10,WAS 44,6,0,Bilal Powell left tackle for 14 yards (tackle by Montae Nicholson),2.110,3.580
1,1:48,1,10,WAS 30,6,0,Bilal Powell left tackle for 6 yards (tackle by Montae Nicholson and Fabian Moreau),3.580,3.840
1,1:07,2,4,WAS 24,6,0,Bilal Powell left end for 17 yards (tackle by Montae Nicholson),3.840,5.600
1,0:20,1,7,WAS 7,6,0,Sam Darnold sacked by Ryan Kerrigan for -5 yards,5.600,3.860
Quarter,Time,Down,ToGo,Location,NYJ,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,WAS 12,6,0,Sam Darnold pass incomplete short left intended for Robby Anderson,3.860,3.100
2,14:52,3,12,WAS 12,6,0,Sam Darnold pass incomplete short middle intended for Bilal Powell (defended by Da'Ron Payne),3.100,2.630
2,14:47,4,12,WAS 12,6,0,"Sam Ficken yard field goal good. Penalty on Jimmy Moreland: Roughing the Kicker, 6 yards (no play)",2.630,5.830
2,14:43,1,6,WAS 6,6,0,Bilal Powell left guard for no gain (tackle by Landon Collins),5.830,4.950
2,14:06,2,6,WAS 6,12,0,"Sam Darnold pass complete short right to Robby Anderson for 6 yards, touchdown",4.950,7.000
2,14:01,,,WAS 15,13,0,Sam Ficken kicks extra point good,0.000,0.000
2,14:01,,,NYJ 35,13,0,"Sam Ficken kicks off 64 yards, returned by Steven Sims for 30 yards (tackle by Sam Ficken). Penalty on Josh Harvey-Clemons: Offensive Holding, 10 yards",0.000,0.340
2,13:55,1,10,WAS 21,13,0,"Dwayne Haskins pass complete deep middle to Terry McLaurin for 67 yards (tackle by Jamal Adams). Penalty on Brandon Scherff: Offensive Holding, 10 yards. Penalty on Brandon Scherff: Unsportsmanlike Conduct, 5 yards (no play)",0.340,-0.950
2,13:22,1,25,WAS 6,13,0,Dwayne Haskins sacked by Henry Anderson for -3 yards,-0.950,-2.090
2,12:38,2,28,WAS 3,13,0,Dwayne Haskins pass incomplete deep right,-2.090,-3.530
2,12:29,3,28,WAS 3,13,0,Dwayne Haskins pass complete short right to Steven Sims for 9 yards (tackle by Frankie Luvu),-3.530,-2.490
2,11:54,4,19,WAS 12,13,0,"Tress Way punts 58 yards, returned by Braxton Berrios for 15 yards (tackle by Michael Burton)",-2.490,-1.930
2,11:44,1,10,NYJ 45,13,0,Le'Veon Bell right end for 2 yards (tackle by Da'Ron Payne),1.930,1.650
2,11:05,2,8,NYJ 47,13,0,"Josh Adams right end for 13 yards (tackle by Landon Collins). Penalty on Jonotthan Harrison: Offensive Holding, 10 yards (no play)",1.650,0.300
2,10:41,2,18,NYJ 37,13,0,Sam Darnold pass short middle intended for Ty Montgomery is intercepted by Jonathan Bostic at NYJ-42 and returned for 26 yards,0.300,-4.510
2,10:31,1,10,NYJ 16,13,0,Adrian Peterson up the middle for 5 yards (tackle by Brandon Copeland and Neville Hewitt),4.510,4.760
2,9:53,2,5,NYJ 11,13,0,Dwayne Haskins pass incomplete short middle intended for Wendell Smallwood,4.760,3.940
2,9:49,3,5,NYJ 11,13,0,Dwayne Haskins sacked by Nathan Shepherd for -15 yards,3.940,1.740
2,9:09,4,20,NYJ 26,13,3,Dustin Hopkins 44 yard field goal good,1.740,3.000
2,9:05,,,WAS 35,13,3,"Dustin Hopkins kicks off 65 yards, returned by Vyncint Smith for 27 yards (tackle by Ryan Anderson). Vyncint Smith fumbles (forced by Ryan Anderson), recovered by Wendell Smallwood at NYJ-27",0.000,-3.780
2,8:57,1,10,NYJ 27,13,3,Derrius Guice left end for 9 yards (tackle by Brandon Copeland),3.780,4.530
