Unnamed: 0,NYJ,WAS
First Downs,23,13
Rush-Yds-TDs,33-115-1,20-54-0
Cmp-Att-Yd-TD-INT,19-31-293-4-1,19-35-214-2-1
Sacked-Yards,2-8,6-43
Net Pass Yards,285,171
Total Yards,400,225
Fumbles-Lost,2-1,3-0
Turnovers,2,1
Penalties-Yards,6-55,11-66
Third Down Conv.,5-12,6-16
Fourth Down Conv.,1-1,0-1
Time of Possession,32:19,27:41
