Quarter,Time,Tm,Detail,NYJ,WAS
1.0,11:50,Jets,Daniel Brown 20 yard pass from Sam Darnold (Sam Ficken kick failed),6,0
2.0,14:01,Jets,Robbie Chosen 6 yard pass from Sam Darnold (Sam Ficken kick),13,0
,9:05,Redskins,Dustin Hopkins 44 yard field goal,13,3
,0:36,Jets,Ryan Griffin 16 yard pass from Sam Darnold (Sam Ficken kick),20,3
4.0,13:11,Jets,Jamison Crowder 29 yard pass from Sam Darnold (Sam Ficken kick),27,3
,12:15,Jets,Le'Veon Bell 1 yard rush (Sam Ficken kick),34,3
,9:59,Redskins,Derrius Guice 45 yard pass from Dwayne Haskins (Trey Quinn pass from Dwayne Haskins),34,11
,1:11,Redskins,Jeremy Sprinkle 1 yard pass from Dwayne Haskins (pass failed),34,17
