Unnamed: 0,SEA,TEN
First Downs,21,23
Rush-Yds-TDs,20-58-0,31-162-1
Cmp-Att-Yd-TD-INT,25-36-227-2-0,19-27-164-1-0
Sacked-Yards,3-12,6-39
Net Pass Yards,215,125
Total Yards,273,287
Fumbles-Lost,1-0,1-0
Turnovers,0,0
Penalties-Yards,6-47,10-97
Third Down Conv.,7-13,6-12
Fourth Down Conv.,0-0,1-1
Time of Possession,26:09,33:51
