Quarter,Time,Tm,Detail,SEA,TEN
2.0,14:15,Titans,Chigoziem Okonkwo 12 yard pass from Derrick Henry (Nick Folk kick),0,7
,10:48,Seahawks,Jason Myers 28 yard field goal,3,7
,3:18,Titans,Nick Folk 33 yard field goal,3,10
3.0,9:53,Seahawks,Jason Myers 27 yard field goal,6,10
4.0,12:10,Seahawks,D.K. Metcalf 11 yard pass from Geno Smith (Jason Myers kick),13,10
,3:21,Titans,Derrick Henry 2 yard rush (Nick Folk kick),13,17
,0:57,Seahawks,Colby Parkinson 5 yard pass from Geno Smith (Jason Myers kick),20,17
