Unnamed: 0,CIN,CLE
First Downs,16,18
Rush-Yds-TDs,20-63-0,30-89-0
Cmp-Att-Yd-TD-INT,23-42-206-0-1,25-38-269-2-0
Sacked-Yards,2-3,3-22
Net Pass Yards,203,247
Total Yards,266,336
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,3-25,5-80
Third Down Conv.,4-14,9-18
Fourth Down Conv.,1-3,0-0
Time of Possession,28:51,31:09
