Quarter,Time,Tm,Detail,CIN,CLE
1.0,2:13,Browns,Jordan Cameron 2 yard pass from Brian Hoyer (Billy Cundiff kick),0,7
2.0,10:48,Bengals,Mike Nugent 25 yard field goal,3,7
3.0,5:10,Browns,Billy Cundiff 51 yard field goal,3,10
,0:37,Bengals,Mike Nugent 43 yard field goal,6,10
4.0,4:54,Browns,Chris Ogbonnaya 1 yard pass from Brian Hoyer (Billy Cundiff kick),6,17
