Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss, Steelers to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Neil Rackers kicks off 58 yards, returned by Antwaan Randle El for 20 yards (tackle by Ron Dugans)",0.000,1.070
1,15:00,1,10,PIT 32,0,0,Jerome Bettis left guard for 3 yards (tackle by Bernard Whittington and Takeo Spikes),1.070,0.930
1,14:11,2,7,PIT 35,0,0,Jerome Bettis middle for 3 yards (tackle by Brian Simmons and Cory Hall),0.930,0.630
1,13:39,3,4,PIT 38,0,0,Kordell Stewart pass complete to Antwaan Randle El for 5 yards (tackle by Artrell Hawkins),0.630,1.800
1,13:05,1,10,PIT 43,0,0,Kordell Stewart pass complete to Plaxico Burress for 5 yards (tackle by Kevin Kaesviharn),1.800,1.930
1,12:26,2,5,PIT 48,0,0,Hines Ward left end for 39 yards (tackle by Justin Smith),1.930,4.710
1,11:37,1,10,CIN 13,0,0,Jerome Bettis left tackle for -1 yards (tackle by Brian Simmons),4.710,3.900
1,10:59,2,11,CIN 14,0,0,Kordell Stewart right end for 12 yards (tackle by Kevin Kaesviharn and JoJuan Armour),3.900,6.740
1,10:14,1,2,CIN 2,0,0,Jerome Bettis middle for 1 yard (tackle by Tony Williams),6.740,5.910
1,9:38,2,1,CIN 1,0,6,"Oliver Ross for 1 yard, touchdown",5.910,7.000
1,9:38,,,CIN 1,0,7,Jeff Reed kicks extra point good,0.000,0.000
1,9:38,,,PIT 30,0,7,"Jeff Reed kicks off 63 yards, returned by Brandon Bennett for 26 yards (tackle by Clark Haggans)",0.000,1.140
1,9:34,1,10,CIN 33,0,7,Corey Dillon left end for 3 yards (tackle by Lee Flowers),1.140,1.000
1,9:08,2,7,CIN 36,0,7,Corey Dillon middle for 2 yards (tackle by Aaron Smith),1.000,0.560
1,8:23,3,5,CIN 38,0,7,Jon Kitna pass complete to Ron Dugans for 20 yards (tackle by Lee Flowers),0.560,2.790
