Unnamed: 0,CIN,PIT
First Downs,17,21
Rush-Yds-TDs,21-54-2,35-156-2
Cmp-Att-Yd-TD-INT,22-39-298-1-0,22-26-236-1-0
Sacked-Yards,1-0,1-1
Net Pass Yards,298,235
Total Yards,352,391
Fumbles-Lost,1-1,1-0
Turnovers,1,0
Penalties-Yards,9-110,5-40
Third Down Conv.,7-15,3-11
Fourth Down Conv.,1-3,1-2
Time of Possession,25:52,34:08
