Quarter,Time,Tm,Detail,CIN,PIT
1.0,9:34,Steelers,Jerome Bettis 1 yard rush (Jeff Reed kick),0,7
,3:22,Steelers,Hines Ward 64 yard pass from Kordell Stewart (Jeff Reed kick),0,14
2.0,10:40,Steelers,Jeff Reed 33 yard field goal,0,17
,7:39,Bengals,Corey Dillon 10 yard rush (Neil Rackers kick),7,17
,1:04,Bengals,Corey Dillon 2 yard rush (Neil Rackers kick),14,17
3.0,6:02,Steelers,Jeff Reed 43 yard field goal,14,20
4.0,8:35,Bengals,Matt Schobel 20 yard pass from Jon Kitna (Neil Rackers kick),21,20
,4:44,Steelers,Jeff Reed 45 yard field goal,21,23
,2:45,Steelers,Jerome Bettis 24 yard rush (Jeff Reed kick failed),21,29
