Unnamed: 0,BUF,MIA
First Downs,12,15
Rush-Yds-TDs,32-105-0,20-92-0
Cmp-Att-Yd-TD-INT,11-18-83-1-0,23-32-250-1-1
Sacked-Yards,2-17,7-60
Net Pass Yards,66,190
Total Yards,171,282
Fumbles-Lost,0-0,2-0
Turnovers,0,1
Penalties-Yards,4-30,6-75
Third Down Conv.,4-13,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,30:59,29:01
