Quarter,Time,Tm,Detail,BUF,MIA
1.0,2:36,Bills,Rian Lindell 33 yard field goal,3,0
3.0,10:09,Bills,Josh Reed 4 yard pass from J.P. Losman (Rian Lindell kick),10,0
,3:54,Bills,Rian Lindell 45 yard field goal,13,0
,0:48,Bills,Rian Lindell 43 yard field goal,16,0
4.0,1:54,Dolphins,Chris Chambers 23 yard pass from Daunte Culpepper (pass failed),16,6
