Unnamed: 0,NOR,BUF
First Downs,32,10
Rush-Yds-TDs,48-298-6,15-69-0
Cmp-Att-Yd-TD-INT,18-25-184-0-0,16-28-135-1-1
Sacked-Yards,0-0,2-6
Net Pass Yards,184,129
Total Yards,482,198
Fumbles-Lost,1-1,1-0
Turnovers,1,1
Penalties-Yards,4-41,8-56
Third Down Conv.,6-12,2-11
Fourth Down Conv.,2-2,0-1
Time of Possession,41:23,18:37
