Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 69 yards, returned by Brandon Tate for 29 yards (tackle by Vonn Bell)",0.000,-0.610
1,14:53,1,10,BUF 25,0,0,LeSean McCoy left tackle for no gain (tackle by Manti Te'o),0.610,0.060
1,14:16,2,10,BUF 25,0,0,Tyrod Taylor pass complete short left to Kelvin Benjamin for 9 yards (tackle by Marshon Lattimore),0.060,0.560
1,13:43,3,1,BUF 34,0,0,LeSean McCoy left end for 36 yards (tackle by Rafael Bush),0.560,3.580
1,13:04,1,10,NOR 30,0,0,Mike Tolbert left end for -2 yards (tackle by Vonn Bell),3.580,2.760
1,12:23,2,12,NOR 32,0,0,Tyrod Taylor middle for 13 yards (tackle by Marcus Williams),2.760,4.310
1,11:48,1,10,NOR 19,0,0,LeSean McCoy right tackle for 1 yard (tackle by Manti Te'o),4.310,3.880
1,11:12,2,9,NOR 18,0,0,Tyrod Taylor pass incomplete deep right intended for Kelvin Benjamin,3.880,3.140
1,11:07,3,9,NOR 18,0,0,Tyrod Taylor pass incomplete short right intended for Kelvin Benjamin,3.140,2.250
1,11:02,4,9,NOR 18,0,3,Steven Hauschka 37 yard field goal good,2.250,3.000
1,10:58,,,BUF 35,0,3,"Steven Hauschka kicks off 65 yards, touchback",0.000,-0.610
1,10:58,1,10,NOR 25,0,3,Drew Brees pass complete short right to Michael Thomas for 13 yards (tackle by Jordan Poyer),0.610,1.470
1,10:29,1,10,NOR 38,0,3,Alvin Kamara left end for 9 yards (tackle by Kyle Williams),1.470,2.140
1,9:53,2,1,NOR 47,0,3,Mark Ingram middle for 14 yards (tackle by Micah Hyde),2.140,2.980
1,9:10,1,10,BUF 39,0,3,Drew Brees pass incomplete,2.980,2.440
1,9:02,2,10,BUF 39,0,3,Drew Brees pass complete short right to Ted Ginn for 3 yards (tackle by Leonard Johnson and TreDavious White),2.440,2.150
1,8:22,3,7,BUF 36,0,3,Drew Brees pass complete short left to Alvin Kamara for 6 yards (tackle by Micah Hyde),2.150,0.000
1,7:46,,,,,,Timeout #1 by New Orleans Saints,0.000,-1.520
1,7:46,4,1,BUF 30,0,3,Mark Ingram middle for 25 yards (tackle by Jordan Poyer),1.520,6.060
1,7:05,1,5,BUF 5,0,3,Mark Ingram right guard for 3 yards (tackle by Jerel Worthy and Jordan Poyer),6.060,5.720
1,6:26,2,2,BUF 2,0,3,"Drew Brees pass incomplete short right intended for Michael Hoomanawanui (defended by Preston Brown). Penalty on Preston Brown: Defensive Pass Interference, 1 yards (no play)",5.720,6.970
1,6:22,1,1,BUF 1,6,3,"Mark Ingram left tackle for 1 yard, touchdown",6.970,7.000
1,6:18,,,BUF 15,7,3,Wil Lutz kicks extra point good,0.000,0.000
1,6:18,,,NOR 35,7,3,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
1,6:18,1,10,BUF 25,7,3,LeSean McCoy right guard for 6 yards (tackle by Marshon Lattimore),0.610,0.870
1,5:46,2,4,BUF 31,7,3,"Tyrod Taylor pass incomplete. Penalty on Nick O'Leary: Tripping, 10 yards (no play)",0.870,-0.480
1,5:39,2,14,BUF 21,7,3,Tyrod Taylor pass incomplete short left intended for LeSean McCoy (defended by Alex Okafor),-0.480,-1.150
1,5:33,3,14,BUF 21,7,3,Tyrod Taylor pass complete short left to LeSean McCoy for 4 yards (tackle by Alex Okafor),-1.150,-1.700
1,5:03,4,10,BUF 25,7,3,"Colton Schmidt punts 39 yards, returned by Ted Ginn for 9 yards (tackle by Deon Lacey)",-1.700,-1.930
1,4:54,1,10,NOR 45,7,3,Drew Brees pass complete short right to Michael Thomas for 11 yards (tackle by Ramon Humber),1.930,2.650
1,4:19,1,10,BUF 44,7,3,Mark Ingram middle for 3 yards (tackle by Preston Brown and Lorenzo Alexander),2.650,2.520
1,3:43,2,7,BUF 41,7,3,Drew Brees pass complete short left to Michael Thomas for 3 yards (tackle by Jordan Poyer),2.520,2.210
1,3:06,3,4,BUF 38,7,3,"Penalty on Ramon Humber: Neutral Zone Infraction, 5 yards (no play)",2.210,3.380
1,2:47,1,10,BUF 33,7,3,Drew Brees pass incomplete short right intended for Brandon Coleman (defended by Shaq Lawson),3.380,2.840
1,2:44,2,10,BUF 33,7,3,Drew Brees pass incomplete short right intended for Coby Fleener,2.840,2.150
1,2:39,3,10,BUF 33,7,3,"Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Lorenzo Alexander and Ramon Humber). Penalty on Lorenzo Alexander: Face Mask (15 Yards), 15 yards",2.150,4.650
1,2:19,1,10,BUF 14,7,3,Mark Ingram middle for 5 yards (tackle by Shaq Lawson and Ramon Humber),4.650,4.900
1,1:42,2,5,BUF 9,7,3,Drew Brees pass complete short right to Josh Hill for -2 yards (tackle by Ramon Humber). Josh Hill fumbles (forced by Ramon Humber),4.900,0.380
1,1:34,1,10,BUF 9,7,3,LeSean McCoy left end for 5 yards (tackle by Marshon Lattimore),-0.380,-0.390
1,1:03,2,5,BUF 14,7,3,Tyrod Taylor pass complete short right to LeSean McCoy for 6 yards (tackle by Rafael Bush),-0.390,0.280
1,0:33,1,10,BUF 20,7,3,Deonte Thompson left end for -5 yards (tackle by Trey Hendrickson),0.280,-1.070
Quarter,Time,Down,ToGo,Location,NOR,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,15,BUF 15,7,3,LeSean McCoy left end for no gain (tackle by Rafael Bush),-1.070,-1.860
2,14:31,3,15,BUF 15,7,3,Tyrod Taylor pass complete short middle to Mike Tolbert for 9 yards (tackle by Craig Robertson and Manti Te'o),-1.860,-1.770
2,13:59,4,6,BUF 24,7,3,"Colton Schmidt punts 34 yards, returned by Ted Ginn for 10 yards (tackle by Mike Tolbert)",-1.770,-2.390
2,13:50,1,10,BUF 48,7,3,Mark Ingram middle for 6 yards (tackle by Ramon Humber and Preston Brown),2.390,2.660
2,13:04,2,4,BUF 42,7,3,Mark Ingram right guard for 1 yard (tackle by Ramon Humber),2.660,2.080
2,12:22,3,3,BUF 41,7,3,"Drew Brees pass complete short left to Ted Ginn for 6 yards (tackle by Shareece Wright). Penalty on Ted Ginn: Offensive Pass Interference, 10 yards (no play)",2.080,0.760
2,11:58,3,13,NOR 49,7,3,Drew Brees pass complete short middle to Brandon Coleman for 30 yards (tackle by Shareece Wright),0.760,4.170
2,11:12,1,10,BUF 21,7,3,Mark Ingram middle for 5 yards (tackle by Micah Hyde),4.170,4.370
2,10:31,2,5,BUF 16,7,3,Drew Brees pass complete short right to Alvin Kamara for 4 yards (tackle by Lorenzo Alexander),4.370,4.490
2,9:51,3,1,BUF 12,7,3,Alvin Kamara left end for 9 yards (tackle by Micah Hyde),4.490,6.510
2,9:15,1,3,BUF 3,7,3,Drew Brees pass incomplete,6.510,5.530
2,9:08,2,3,BUF 3,13,3,"Mark Ingram left guard for 3 yards, touchdown",5.530,7.000
2,9:03,,,BUF 15,14,3,Wil Lutz kicks extra point good,0.000,0.000
2,9:03,,,NOR 35,14,3,"Wil Lutz kicks off 66 yards, returned by Brandon Tate for 18 yards (tackle by Daniel Lasco)",0.000,0.060
2,8:58,1,10,BUF 17,14,3,Tyrod Taylor pass complete short middle to Patrick DiMarco for 6 yards (tackle by Craig Robertson and Manti Te'o),-0.060,0.350
2,8:30,2,4,BUF 23,14,3,"LeSean McCoy left tackle for 3 yards (tackle by Tyeler Davison). LeSean McCoy fumbles (forced by Tyeler Davison), recovered by Dion Dawkins at BUF-26",0.350,-0.120
