Quarter,Time,Tm,Detail,NOR,BUF
1.0,10:58,Bills,Stephen Hauschka 37 yard field goal,0,3
,6:18,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),7,3
2.0,9:03,Saints,Mark Ingram 3 yard rush (Wil Lutz kick),14,3
,1:39,Saints,Wil Lutz 23 yard field goal,17,3
3.0,9:40,Saints,Alvin Kamara 5 yard rush (Wil Lutz kick),24,3
,8:24,Saints,Mark Ingram 3 yard rush (Wil Lutz kick failed),30,3
,0:22,Saints,Drew Brees 7 yard rush (Wil Lutz kick),37,3
4.0,4:53,Saints,Wil Lutz 53 yard field goal,40,3
,3:04,Saints,Trey Edmunds 41 yard rush (Wil Lutz kick),47,3
,1:54,Bills,Nick O'Leary 7 yard pass from Nathan Peterman (Stephen Hauschka kick),47,10
