Quarter,Time,Tm,Detail,BAL,ATL
1.0,8:27,Ravens,Matt Stover 32 yard field goal,3,0
,1:23,Falcons,Jay Feely 23 yard field goal,3,3
2.0,12:30,Falcons,Patrick Kerney 4 yard defensive fumble return (Jay Feely kick),3,10
,5:56,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),3,17
,1:56,Ravens,Travis Taylor 7 yard pass from Jeff Blake (Matt Stover kick),10,17
3.0,11:50,Ravens,Alan Ricard 19 yard rush (Matt Stover kick),17,17
,2:02,Falcons,Jay Feely 40 yard field goal,17,20
