Unnamed: 0,BAL,ATL
First Downs,15,14
Rush-Yds-TDs,24-153-1,34-126-1
Cmp-Att-Yd-TD-INT,14-28-229-1-1,12-24-136-0-1
Sacked-Yards,6-42,3-21
Net Pass Yards,187,115
Total Yards,340,241
Fumbles-Lost,2-1,2-0
Turnovers,2,1
Penalties-Yards,7-62,4-33
Third Down Conv.,8-15,5-15
Fourth Down Conv.,0-1,1-1
Time of Possession,28:18,31:42
