Quarter,Time,Tm,Detail,NYJ,NWE
1.0,10:57,Patriots,Shayne Graham 41 yard field goal,0,3
,4:02,Patriots,BenJarvus Green-Ellis 1 yard rush (Shayne Graham kick),0,10
,1:01,Patriots,Deion Branch 25 yard pass from Tom Brady (Shayne Graham kick),0,17
2.0,12:14,Jets,Nick Folk 39 yard field goal,3,17
,8:15,Patriots,Brandon Tate 4 yard pass from Tom Brady (Shayne Graham kick),3,24
3.0,4:40,Patriots,Wes Welker 18 yard pass from Tom Brady (Shayne Graham kick),3,31
4.0,14:57,Patriots,Aaron Hernandez 1 yard pass from Tom Brady (Shayne Graham kick),3,38
,9:20,Patriots,BenJarvus Green-Ellis 5 yard rush (Shayne Graham kick),3,45
