Unnamed: 0,DET,GNB
First Downs,32,27
Rush-Yds-TDs,15-73-0,24-81-0
Cmp-Att-Yd-TD-INT,36-59-520-5-2,31-44-480-6-1
Sacked-Yards,2-18,3-11
Net Pass Yards,502,469
Total Yards,575,550
Fumbles-Lost,2-2,1-1
Turnovers,4,2
Penalties-Yards,11-101,6-78
Third Down Conv.,4-11,6-12
Fourth Down Conv.,1-2,0-0
Time of Possession,28:20,31:40
