Quarter,Time,Tm,Detail,DET,GNB
1.0,13:00,Lions,Titus Young 8 yard pass from Matthew Stafford (Jason Hanson kick),7,0
,12:59,Lions,"Safety, Pat Lee tackled in end zone.",9,0
,5:55,Packers,Mason Crosby 22 yard field goal,9,3
,0:16,Packers,Jordy Nelson 7 yard pass from Matt Flynn (Mason Crosby kick),9,10
2.0,8:18,Lions,Calvin Johnson 13 yard pass from Matthew Stafford (Jason Hanson kick),16,10
,8:00,Packers,Ryan Grant 80 yard pass from Matt Flynn (Mason Crosby kick),16,17
,5:53,Lions,Jason Hanson 30 yard field goal,19,17
,3:37,Packers,Jordy Nelson 36 yard pass from Matt Flynn (Mason Crosby kick),19,24
3.0,6:39,Lions,Titus Young 2 yard pass from Matthew Stafford (Jason Hanson kick),26,24
,4:32,Packers,Jordy Nelson 58 yard pass from Matt Flynn (Mason Crosby kick),26,31
,2:07,Lions,Kevin Smith 5 yard pass from Matthew Stafford (Tony Scheffler pass from Matthew Stafford),34,31
4.0,8:10,Packers,Donald Driver 35 yard pass from Matt Flynn (Mason Crosby kick),34,38
,2:39,Lions,Tony Scheffler 12 yard pass from Matthew Stafford (Jason Hanson kick),41,38
,1:10,Packers,Jermichael Finley 4 yard pass from Matt Flynn (Mason Crosby kick),41,45
