Quarter,Time,Tm,Detail,SFO,LAR
1.0,8:25,49ers,Christian McCaffrey 14 yard rush (Jake Moody kick),7,0
,1:54,Rams,Brett Maher 43 yard field goal,7,3
2.0,13:32,49ers,Jake Moody 27 yard field goal,10,3
,9:49,Rams,Kyren Williams 6 yard pass from Matthew Stafford (Brett Maher kick),10,10
,1:45,Rams,Kyren Williams 4 yard rush (Brett Maher kick),10,17
,0:00,49ers,Brock Purdy 1 yard rush (Jake Moody kick),17,17
3.0,1:21,49ers,Jake Moody 57 yard field goal,20,17
4.0,11:28,49ers,Deebo Samuel 11 yard rush (Jake Moody kick),27,17
,7:13,Rams,Brett Maher 48 yard field goal,27,20
,2:59,49ers,Jake Moody 26 yard field goal,30,20
,0:00,Rams,Brett Maher 38 yard field goal,30,23
