Unnamed: 0,IND,SDG
First Downs,19,21
Rush-Yds-TDs,23-91-0,25-120-0
Cmp-Att-Yd-TD-INT,32-44-255-2-1,24-31-288-2-0
Sacked-Yards,1-5,2-14
Net Pass Yards,250,274
Total Yards,341,394
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,3-15,5-37
Third Down Conv.,10-17,6-12
Fourth Down Conv.,2-2,0-0
Time of Possession,31:40,28:20
