Quarter,Time,Tm,Detail,IND,SDG
1.0,1:42,Colts,Adam Vinatieri 23 yard field goal,3,0
2.0,11:43,Chargers,Nate Kaeding 35 yard field goal,3,3
,4:56,Chargers,Vincent Jackson 39 yard pass from Philip Rivers (Nate Kaeding kick),3,10
,0:38,Colts,Anthony Gonzalez 13 yard pass from Peyton Manning (Adam Vinatieri kick),10,10
3.0,3:51,Colts,Dominic Rhodes 1 yard pass from Peyton Manning (Adam Vinatieri kick),17,10
4.0,11:48,Colts,Adam Vinatieri 38 yard field goal,20,10
,5:36,Chargers,Jacob Hester 1 yard pass from Philip Rivers (Nate Kaeding kick),20,17
,1:30,Chargers,Nate Kaeding 47 yard field goal,20,20
,0:00,Colts,Adam Vinatieri 51 yard field goal,23,20
