Quarter,Time,Down,ToGo,Location,IND,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,SDG 30,0,0,"Nate Kaeding kicks off 66 yards, returned by Chad Simpson for 24 yards (tackle by Antwan Applewhite)",0.000,0.810
1,14:55,1,10,IND 28,0,0,Peyton Manning pass complete short right to Anthony Gonzalez for 15 yards (tackle by Eric Weddle),0.810,1.800
1,14:12,1,10,IND 43,0,0,Joseph Addai left tackle for 2 yards (tackle by Jyles Tucker and Matt Wilhelm),1.800,1.520
1,13:34,2,8,IND 45,0,0,Peyton Manning pass complete short right to Marvin Harrison for 11 yards (tackle by Quentin Jammer),1.520,2.650
,,,,,,,"SDG challenged the pass completion ruling, and the play was upheld.",,
1,13:18,1,10,SDG 44,0,0,Peyton Manning pass complete short left to Marvin Harrison for 4 yards (tackle by Antonio Cromartie),2.650,2.650
1,13:03,2,6,SDG 40,0,0,Joseph Addai left end for no gain (tackle by Clinton Hart),2.650,1.950
1,12:28,3,6,SDG 40,0,0,Peyton Manning pass incomplete short right intended for Dallas Clark (defended by Stephen Cooper),1.950,0.590
1,12:24,4,6,SDG 40,0,0,"Hunter Smith punts 31 yards, fair catch by Darren Sproles",0.590,0.380
1,12:16,1,10,SDG 9,0,0,LaDainian Tomlinson up the middle for 6 yards (tackle by Eric Foster and Kelvin Hayden),-0.380,-0.280
1,11:42,2,4,SDG 15,0,0,LaDainian Tomlinson right end for 1 yard (tackle by Freddie Keiaho),-0.280,-0.600
1,11:03,3,3,SDG 16,0,0,Philip Rivers pass incomplete deep left intended for Malcom Floyd,-0.600,-2.390
1,10:57,4,3,SDG 16,0,0,"Mike Scifres punts 41 yards, fair catch by Keiwan Ratliff",-2.390,-1.800
1,10:49,1,10,IND 43,0,0,Peyton Manning pass incomplete short right intended for Joseph Addai,1.800,1.250
1,10:42,2,10,IND 43,0,0,Joseph Addai left guard for 1 yard (tackle by Jamal Williams),1.250,0.690
1,10:08,3,9,IND 44,0,0,Peyton Manning pass complete short right to Dallas Clark for 4 yards (tackle by Quentin Jammer),0.690,-0.190
1,9:23,4,5,IND 48,0,0,"Hunter Smith punts 36 yards, fair catch by Darren Sproles",-0.190,0.140
1,9:14,1,10,SDG 16,0,0,Philip Rivers pass complete short left to Chris Chambers for 5 yards (tackle by Melvin Bullitt),-0.140,0.150
1,8:44,2,5,SDG 21,0,0,LaDainian Tomlinson right tackle for 4 yards (tackle by Antonio Johnson),0.150,-0.200
1,8:06,3,1,SDG 25,0,0,LaDainian Tomlinson left tackle for no gain (tackle by Melvin Bullitt),-0.200,-1.700
1,7:31,4,1,SDG 25,0,0,Mike Scifres punts 45 yards (tackle by Kassim Osgood),-1.700,-1.140
1,7:22,1,10,IND 33,0,0,Joseph Addai up the middle for 5 yards (tackle by Jamal Williams),1.140,1.270
1,6:54,2,5,IND 38,0,0,Peyton Manning pass complete short right to Joseph Addai for 4 yards (tackle by Quentin Jammer),1.270,1.090
1,6:10,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,1.090
1,6:10,3,1,IND 42,0,0,Peyton Manning pass complete deep middle to Reggie Wayne for 26 yards (tackle by Eric Weddle),1.090,3.450
1,5:32,1,10,SDG 32,0,0,Joseph Addai left tackle for 6 yards (tackle by Jamal Williams and Clinton Hart),3.450,3.710
1,4:57,2,4,SDG 26,0,0,Peyton Manning pass complete short left to Joseph Addai for 5 yards (tackle by Jamal Williams),3.710,4.170
1,4:28,1,10,SDG 21,0,0,Joseph Addai left guard for 6 yards (tackle by Matt Wilhelm and Eric Weddle),4.170,4.550
1,3:47,2,4,SDG 15,0,0,Peyton Manning pass incomplete short left intended for Anthony Gonzalez,4.550,3.810
1,3:44,3,4,SDG 15,0,0,Peyton Manning pass complete short middle to Dallas Clark for 5 yards (tackle by Matt Wilhelm),3.810,4.910
1,3:08,1,10,SDG 10,0,0,Peyton Manning pass incomplete short right intended for Dominic Rhodes,4.910,4.190
1,3:05,2,10,SDG 10,0,0,Joseph Addai up the middle for -3 yards (tackle by Matt Wilhelm and Stephen Cooper),4.190,3.060
1,2:22,3,13,SDG 13,0,0,Peyton Manning pass complete short left to Reggie Wayne for 8 yards (tackle by Stephen Cooper),3.060,3.010
1,1:45,4,5,SDG 5,3,0,Adam Vinatieri 23 yard field goal good,3.010,3.000
1,1:42,,,IND 30,3,0,"Adam Vinatieri kicks off 67 yards, returned by Darren Sproles for 14 yards (tackle by Jordan Senn)",0.000,-0.060
1,1:36,1,10,SDG 17,3,0,Philip Rivers pass complete short middle to LaDainian Tomlinson for 8 yards (tackle by Freddie Keiaho),-0.060,0.620
1,1:03,2,2,SDG 25,3,0,LaDainian Tomlinson left end for no gain (tackle by Keyunta Dawson),0.620,-0.240
1,0:20,3,2,SDG 25,3,0,Philip Rivers pass complete deep left to Malcom Floyd for 31 yards (tackle by Melvin Bullitt),-0.240,2.650
Quarter,Time,Down,ToGo,Location,IND,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,IND 44,3,0,Philip Rivers pass complete short right to Brandon Manumaleuna for 10 yards (tackle by Kelvin Hayden),2.650,3.310
2,14:19,1,10,IND 34,3,0,Philip Rivers pass complete short right to Antonio Gates for 13 yards (tackle by Gary Brackett),3.310,4.170
