Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, returned by Richard Murphy for 22 yards (tackle by Niko Koutouvides)",0.000,0.410
1,14:55,1,10,JAX 22,0,0,Chad Henne pass complete deep left to Justin Blackmon for 18 yards (tackle by Devin McCourty),0.410,1.600
1,14:16,1,10,JAX 40,0,0,Montell Owens right end for 3 yards (tackle by Dont'a Hightower),1.600,1.460
1,13:33,2,7,JAX 43,0,0,Chad Henne pass complete short right to Marcedes Lewis for 4 yards (tackle by Dont'a Hightower),1.460,1.290
1,12:49,3,3,JAX 47,0,0,Chad Henne pass complete short right to Cecil Shorts for 10 yards,1.290,2.720
1,12:14,1,10,NWE 43,0,0,Montell Owens right end for 14 yards (tackle by Patrick Chung),2.720,3.640
1,11:43,1,10,NWE 29,0,0,Chad Henne pass complete short left to Montell Owens for 12 yards (tackle by Kyle Arrington),3.640,4.440
1,11:04,1,10,NWE 17,0,0,Chad Henne pass complete short right to Marcedes Lewis for 9 yards (tackle by Marquice Cole),4.440,5.480
1,10:24,2,1,NWE 8,0,0,Richard Murphy up the middle for 5 yards (tackle by Steve Gregory),5.480,6.510
1,9:39,1,3,NWE 3,0,6,"Chad Henne pass complete short middle to Justin Blackmon for 3 yards, touchdown",6.510,7.000
1,9:39,,,NWE 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,9:34,,,JAX 35,0,7,"Josh Scobee kicks off 63 yards, returned by Matt Slater for 20 yards (tackle by Greg Jones)",0.000,0.410
1,9:29,1,10,NWE 22,0,7,"Tom Brady pass incomplete short right intended for Brandon Lloyd. Penalty on Derek Cox: Defensive Pass Interference, 8 yards (no play)",0.410,0.940
1,9:25,1,10,NWE 30,0,7,Stevan Ridley up the middle for 3 yards (tackle by Dawan Landry),0.940,0.800
1,8:58,2,7,NWE 33,0,7,Tom Brady pass incomplete deep left intended for Stevan Ridley is intercepted by Chris Prosinski at JAX-43 and returned for 4 yards,0.800,-2.060
1,8:49,1,10,JAX 47,0,7,Chad Henne pass complete short left to Cecil Shorts for 8 yards (tackle by Kyle Arrington). Penalty on Vince Wilfork: Defensive Offside (Declined),2.060,2.600
1,8:26,2,2,NWE 45,0,7,Montell Owens up the middle for 5 yards (tackle by Dont'a Hightower),2.600,2.920
1,7:41,1,10,NWE 40,0,7,Chad Henne pass incomplete short right intended for Justin Blackmon,2.920,2.370
1,7:37,2,10,NWE 40,0,7,Montell Owens up the middle for 11 yards (tackle by Steve Gregory),2.370,3.640
1,6:51,1,10,NWE 29,0,7,Chad Henne pass incomplete short left intended for Cecil Shorts,3.640,3.100
1,6:46,2,10,NWE 29,0,7,Richard Murphy right guard for -3 yards (tackle by Marquice Cole),3.100,2.020
1,6:08,3,13,NWE 32,0,7,Chad Henne pass complete short left to Marcedes Lewis for 9 yards (tackle by Tavon Wilson),2.020,2.000
1,6:08,4,4,NWE 23,0,10,Josh Scobee 41 yard field goal good,2.000,3.000
1,5:43,,,JAX 35,0,10,"Josh Scobee kicks off 65 yards, touchback",0.000,0.280
1,5:43,1,10,NWE 20,0,10,Tom Brady pass incomplete deep right intended for Brandon Lloyd,0.280,-0.270
1,5:38,2,10,NWE 20,0,10,Tom Brady pass complete deep middle to Michael Hoomanawanui for 32 yards (tackle by Chris Prosinski),-0.270,2.390
1,5:13,1,10,JAX 48,0,10,Tom Brady pass complete short left to Wes Welker for 7 yards (tackle by Mike Harris),2.390,2.790
1,5:02,2,3,JAX 41,0,10,Stevan Ridley right tackle for 16 yards (tackle by Russell Allen),2.790,3.910
1,4:42,1,10,JAX 25,0,10,Stevan Ridley right end for 7 yards (tackle by Mike Harris),3.910,4.370
1,4:25,2,3,JAX 18,0,10,Stevan Ridley up the middle for 9 yards (tackle by Chris Prosinski),4.370,5.140
1,4:25,1,9,JAX 9,0,10,Stevan Ridley left end for 2 yards (tackle by Paul Posluszny),5.140,4.760
1,4:25,2,7,JAX 7,0,10,Tom Brady pass incomplete short right intended for Aaron Hernandez,4.760,3.810
1,3:23,3,7,JAX 7,0,10,Tom Brady pass incomplete short left intended for Brandon Lloyd,3.810,2.970
1,3:18,4,7,JAX 7,3,10,Stephen Gostkowski 25 yard field goal good,2.970,3.000
1,3:15,,,NWE 35,3,10,"Stephen Gostkowski kicks off 63 yards, returned by Richard Murphy for 32 yards (tackle by Nate Ebner)",0.000,1.200
1,3:08,1,10,JAX 34,3,10,Richard Murphy up the middle for 1 yard (tackle by Jerod Mayo),1.200,0.790
1,2:26,2,9,JAX 35,3,10,Chad Henne pass complete short middle to Jordan Shipley for 36 yards (tackle by Danny Aiken),0.790,3.640
1,2:26,1,10,NWE 29,3,10,Chad Henne pass incomplete deep right intended for Justin Blackmon,3.640,3.100
1,2:03,2,10,NWE 29,3,10,Richard Murphy up the middle for 4 yards (tackle by Patrick Chung and Tracy White),3.100,2.940
1,1:25,3,6,NWE 25,3,10,Chad Henne pass incomplete short left intended for Marcedes Lewis,2.940,1.830
1,1:19,4,6,NWE 25,3,10,Josh Scobee 43 yard field goal no good,1.830,-1.140
1,1:15,1,10,NWE 33,3,10,Stevan Ridley right end for 1 yard (tackle by Paul Posluszny),1.140,0.730
1,0:44,2,9,NWE 34,3,10,Tom Brady pass complete short right to Wes Welker for 11 yards (tackle by Russell Allen),0.730,1.930
1,0:23,1,10,NWE 45,3,10,Tom Brady pass incomplete deep middle intended for Brandon Lloyd is intercepted by Derek Cox at JAX-26,1.930,-0.670
1,0:16,1,10,JAX 26,3,10,Chad Henne pass complete short left to Montell Owens for 53 yards (tackle by Kyle Arrington),0.670,4.170
Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 21,3,10,Chad Henne pass complete short right to Cecil Shorts for 9 yards (tackle by Devin McCourty),4.170,5.160
2,14:28,2,1,NWE 12,3,10,"Richard Murphy left end for 4 yards (tackle by Steve Gregory). Penalty on Cecil Shorts: Offensive Holding, 10 yards (no play)",5.160,3.490
2,14:01,2,11,NWE 22,3,10,Chad Henne pass complete short right to Marcedes Lewis for 5 yards (tackle by Kyle Arrington),3.490,3.460
2,13:17,3,6,NWE 17,3,10,Chad Henne pass incomplete deep left intended for Justin Blackmon,3.460,2.340
2,13:11,4,6,NWE 17,3,13,Josh Scobee 35 yard field goal good,2.340,3.000
