Quarter,Time,Tm,Detail,NWE,JAX
1.0,9:34,Jaguars,Justin Blackmon 3 yard pass from Chad Henne (Josh Scobee kick),0,7
,5:43,Jaguars,Josh Scobee 41 yard field goal,0,10
,3:15,Patriots,Stephen Gostkowski 25 yard field goal,3,10
2.0,13:07,Jaguars,Josh Scobee 35 yard field goal,3,13
,5:25,Patriots,Stephen Gostkowski 49 yard field goal,6,13
,0:18,Patriots,Danny Woodhead 14 yard pass from Tom Brady (Stephen Gostkowski kick),13,13
3.0,11:44,Patriots,Stephen Gostkowski 38 yard field goal,16,13
4.0,14:15,Patriots,Wes Welker 2 yard pass from Tom Brady (Stephen Gostkowski kick),23,13
,8:42,Jaguars,Josh Scobee 42 yard field goal,23,16
