Unnamed: 0,NWE,JAX
First Downs,23,22
Rush-Yds-TDs,27-103-0,23-93-0
Cmp-Att-Yd-TD-INT,24-41-267-2-2,29-51-348-1-3
Sacked-Yards,3-21,1-5
Net Pass Yards,246,343
Total Yards,349,436
Fumbles-Lost,0-0,0-0
Turnovers,2,3
Penalties-Yards,4-39,5-47
Third Down Conv.,4-12,4-15
Fourth Down Conv.,0-0,1-2
Time of Possession,27:25,32:35
