Quarter,Time,Tm,Detail,IND,OAK
1.0,8:21,Colts,Mo Alie-Cox 26 yard pass from Andrew Luck (Adam Vinatieri kick),7,0
,0:00,Colts,Adam Vinatieri 26 yard field goal,10,0
2.0,11:56,Raiders,Seth Roberts 31 yard pass from Derek Carr (Daniel Carlson kick),10,7
,6:13,Raiders,Jared Cook 25 yard pass from Derek Carr (Daniel Carlson kick),10,14
,0:26,Colts,Adam Vinatieri 25 yard field goal,13,14
3.0,9:49,Raiders,Derek Carr 1 yard rush (Daniel Carlson kick),13,21
,7:39,Colts,Eric Ebron 20 yard pass from Andrew Luck (Chester Rogers pass from Andrew Luck),21,21
,1:01,Raiders,Brandon LaFell 6 yard pass from Derek Carr (Daniel Carlson kick),21,28
4.0,10:47,Colts,Marlon Mack 4 yard rush (Adam Vinatieri kick),28,28
,5:28,Colts,Jack Doyle 10 yard pass from Andrew Luck (Adam Vinatieri kick),35,28
,2:55,Colts,Marlon Mack 1 yard rush (Adam Vinatieri kick),42,28
