Quarter,Time,Tm,Detail,TAM,CLE
1.0,7:05,Buccaneers,Matt Bryant 23 yard field goal,3,0
2.0,6:18,Buccaneers,Matt Bryant 24 yard field goal,6,0
3.0,9:20,Buccaneers,Michael Pittman 11 yard rush (Matt Bryant kick failed),12,0
4.0,14:12,Buccaneers,Derrick Brooks 21 yard interception return (Matt Bryant kick),19,0
,11:33,Browns,Daven Holly 40 yard defensive fumble return (Phil Dawson kick),19,7
,5:47,Buccaneers,Matt Bryant 37 yard field goal,22,7
