Unnamed: 0,TAM,CLE
First Downs,21,12
Rush-Yds-TDs,44-153-1,20-91-0
Cmp-Att-Yd-TD-INT,16-26-212-0-1,10-28-123-0-4
Sacked-Yards,3-10,3-27
Net Pass Yards,202,96
Total Yards,355,187
Fumbles-Lost,1-1,0-0
Turnovers,2,4
Penalties-Yards,2-10,1-15
Third Down Conv.,8-17,4-12
Fourth Down Conv.,1-2,0-1
Time of Possession,37:16,22:44
