Unnamed: 0,PIT,CLE
First Downs,16,20
Rush-Yds-TDs,17-35-0,25-57-1
Cmp-Att-Yd-TD-INT,24-36-263-2-1,20-30-222-1-1
Sacked-Yards,1-8,7-42
Net Pass Yards,255,180
Total Yards,290,237
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,13-144,4-61
Third Down Conv.,5-13,3-12
Fourth Down Conv.,0-0,2-2
Time of Possession,28:50,31:10
