Quarter,Time,Tm,Detail,PIT,CLE
1.0,12:44,Steelers,Anthony Chickillo blocked punt recovery in end zone (Chris Boswell kick),7,0
,0:22,Browns,DeShone Kizer 1 yard rush (Zane Gonzalez kick),7,7
2.0,0:45,Steelers,Jesse James 4 yard pass from Ben Roethlisberger (Chris Boswell kick),14,7
3.0,9:27,Browns,Zane Gonzalez 24 yard field goal,14,10
,5:37,Steelers,Jesse James 2 yard pass from Ben Roethlisberger (Chris Boswell kick),21,10
4.0,3:36,Browns,Corey Coleman 3 yard pass from DeShone Kizer (Isaiah Crowell run),21,18
