Quarter,Time,Tm,Detail,DET,ARI
2.0,11:44,Cardinals,Jay Feely 47 yard field goal,0,3
,10:20,Lions,Calvin Johnson 72 yard pass from Matthew Stafford (David Akers kick),7,3
,7:32,Cardinals,Andre Ellington 36 yard pass from Carson Palmer (Jay Feely kick),7,10
,1:55,Lions,Calvin Johnson 3 yard pass from Matthew Stafford (David Akers kick),14,10
3.0,10:32,Cardinals,Jay Feely 23 yard field goal,14,13
,7:04,Lions,DeAndre Levy 66 yard interception return (David Akers kick),21,13
,4:13,Cardinals,Jay Feely 43 yard field goal,21,16
4.0,14:17,Cardinals,Jay Feely 33 yard field goal,21,19
,1:59,Cardinals,Rashard Mendenhall 1 yard rush (pass failed),21,25
