Unnamed: 0,DET,ARI
First Downs,16,24
Rush-Yds-TDs,20-49-0,25-87-1
Cmp-Att-Yd-TD-INT,24-36-278-2-0,23-40-265-1-1
Sacked-Yards,1-5,1-4
Net Pass Yards,273,261
Total Yards,322,348
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,8-101,7-40
Third Down Conv.,3-11,1-11
Fourth Down Conv.,0-1,0-0
Time of Possession,28:41,31:19
