Unnamed: 0,HOU,IND
First Downs,20,21
Rush-Yds-TDs,41-185-1,15-83-0
Cmp-Att-Yd-TD-INT,14-24-147-0-1,24-45-276-2-2
Sacked-Yards,2-16,1-11
Net Pass Yards,131,265
Total Yards,316,348
Fumbles-Lost,1-0,1-1
Turnovers,1,3
Penalties-Yards,7-124,9-59
Third Down Conv.,5-14,5-12
Fourth Down Conv.,0-0,0-1
Time of Possession,36:05,23:55
