Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Pat McAfee kicks off 65 yards, muffed catch by Akeem Hunt, recovered by Akeem Hunt and returned for no gain",0.000,-0.410
1,14:53,1,10,HOU 22,0,0,Lamar Miller middle for 5 yards (tackle by Arthur Jones),0.410,0.540
1,14:16,2,5,HOU 27,0,0,Brock Osweiler pass complete short right to Keith Mumphery for 10 yards (tackle by Vontae Davis),0.540,1.400
1,14:11,1,10,HOU 37,0,0,Brock Osweiler pass incomplete deep right intended for DeAndre Hopkins,1.400,0.860
1,13:41,2,10,HOU 37,0,0,Lamar Miller middle for no gain (tackle by Trent Cole),0.860,0.170
1,13:01,3,10,HOU 37,0,0,Brock Osweiler pass complete short left to C.J. Fiedorowicz for 6 yards (tackle by T.J. Green),0.170,-0.520
1,12:27,4,4,HOU 43,0,0,"Shane Lechler punts 45 yards, fair catch by Chester Rogers",-0.520,0.350
1,12:21,1,10,IND 12,0,0,Frank Gore left end for 11 yards (tackle by Benardrick McKinney and A.J. Bouye),-0.350,0.480
1,11:36,1,10,IND 23,0,0,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Whitney Mercilus),0.480,-0.070
1,11:30,2,10,IND 23,0,0,Andrew Luck pass complete short right to Phillip Dorsett for 7 yards (tackle by Robert Nelson),-0.070,0.170
1,10:50,3,3,IND 30,0,0,Andrew Luck right end for 33 yards (tackle by Quintin Demps),0.170,3.120
1,10:13,1,10,HOU 37,0,0,Frank Gore right tackle for 4 yards (tackle by Benardrick McKinney),3.120,3.110
1,9:33,2,6,HOU 33,0,0,Andrew Luck pass complete deep right to T.Y. Hilton for 17 yards (tackle by Kareem Jackson),3.110,4.510
,,,,,,,"HOU challenged the pass completion ruling, and the play was upheld.",,
1,9:19,1,10,HOU 16,0,0,Frank Gore middle for 2 yards (tackle by Akeem Dent),4.510,4.210
1,8:44,2,8,HOU 14,0,0,Andrew Luck pass incomplete short left intended for Donte Moncrief,4.210,3.370
1,8:40,3,8,HOU 14,0,0,Andrew Luck pass incomplete short middle intended for Donte Moncrief,3.370,2.510
1,8:35,4,8,HOU 14,0,3,Adam Vinatieri 32 yard field goal good,2.510,3.000
1,8:31,,,IND 35,0,3,"Pat McAfee kicks off 65 yards, returned by Akeem Hunt for 18 yards (tackle by Josh Ferguson)",0.000,-0.040
1,8:26,1,10,HOU 18,0,3,Lamar Miller middle for 3 yards (tackle by Akeem Ayers and Edwin Jackson),0.040,0.010
1,7:50,2,7,HOU 21,0,3,Brock Osweiler sacked by Hassan Ridgeway for -5 yards,0.010,0.000
1,7:02,,,,0,3,Timeout #2 by Houston Texans,0.000,1.500
1,7:02,3,12,HOU 16,0,3,Brock Osweiler pass complete short right to Ryan Griffin for 11 yards (tackle by T.J. Green),-1.500,-1.570
1,6:24,4,1,HOU 27,0,3,"Shane Lechler punts 57 yards, returned by Chester Rogers for 2 yards (tackle by Corey Moore)",-1.570,-0.040
1,6:11,1,10,IND 18,0,3,Andrew Luck pass incomplete short left intended for Dwayne Allen is intercepted by Quintin Demps at IND-31 and returned for 15 yards,0.040,-4.510
1,6:01,1,10,IND 16,0,3,Alfred Blue middle for 6 yards (tackle by Trent Cole),4.510,4.970
1,5:25,2,4,IND 10,0,3,Alfred Blue right guard for 4 yards (tackle by Arthur Jones),4.970,5.830
1,4:54,1,6,IND 6,0,3,Alfred Blue right tackle for 3 yards (tackle by Henry Anderson and Arthur Jones),5.830,5.530
1,4:11,2,3,IND 3,0,3,Brock Osweiler pass incomplete short right intended for Jonathan Grimes (defended by Darius Butler),5.530,4.720
1,4:08,3,3,IND 3,0,3,Brock Osweiler pass incomplete short middle intended for DeAndre Hopkins. Penalty on Chris Clark: Face Mask (15 Yards) (Declined),4.720,3.040
1,4:04,4,3,IND 3,3,3,Nick Novak 21 yard field goal good,3.040,3.000
1,4:00,,,HOU 35,3,3,"Nick Novak kicks off 65 yards, touchback",0.000,-0.610
1,4:00,1,10,IND 25,3,3,Frank Gore middle for 1 yard (tackle by Corey Moore and Brian Cushing),0.610,0.200
1,3:14,2,9,IND 26,3,3,Andrew Luck pass complete short right to Frank Gore for 15 yards (tackle by Robert Nelson and Quintin Demps),0.200,1.660
1,2:28,1,10,IND 41,3,3,Andrew Luck pass incomplete short left intended for Robert Turbin,1.660,1.120
1,2:21,2,10,IND 41,3,3,Andrew Luck pass complete short right to Phillip Dorsett for 4 yards (tackle by Robert Nelson),1.120,0.960
1,1:44,3,6,IND 45,3,3,Andrew Luck pass complete short right to Robert Turbin for 3 yards (tackle by Robert Nelson),0.960,-0.190
1,1:08,4,3,IND 48,3,3,"Pat McAfee punts 32 yards, fair catch by Will Fuller",-0.190,-0.280
1,1:00,1,10,HOU 20,3,3,Alfred Blue right end for 6 yards (tackle by Antonio Morrison and Arthur Jones),0.280,0.540
1,0:21,2,4,HOU 26,3,3,Brock Osweiler pass complete short left to Alfred Blue for no gain,0.540,-0.160
Quarter,Time,Down,ToGo,Location,HOU,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,4,HOU 26,3,3,Brock Osweiler pass complete short left to Ryan Griffin for 12 yards (tackle by Mike Adams),-0.160,1.470
2,14:31,1,10,HOU 38,3,3,Alfred Blue middle for 3 yards (tackle by David Parry and Arthur Jones),1.470,1.330
2,13:56,2,7,HOU 41,3,3,Alfred Blue left tackle for 3 yards (tackle by Arthur Jones),1.330,1.020
2,13:11,3,4,HOU 44,3,3,"Brock Osweiler pass incomplete short left intended for DeAndre Hopkins (defended by Vontae Davis). Penalty on Vontae Davis: Defensive Pass Interference, 6 yards (no play)",1.020,2.260
2,13:07,1,10,,3,3,Alfred Blue left tackle for 5 yards (tackle by Rashaan Melvin),2.260,2.390
2,12:33,2,5,IND 45,3,3,Alfred Blue middle for 4 yards (tackle by Josh McNary),2.390,2.210
2,11:51,3,1,IND 41,3,3,Brock Osweiler pass incomplete short left intended for C.J. Fiedorowicz is intercepted by Akeem Ayers at IND-29 and returned for 25 yards,2.210,-2.520
2,11:36,1,10,HOU 46,3,3,Andrew Luck pass incomplete short middle intended for Dwayne Allen (defended by Quintin Demps),2.520,1.980
2,11:32,2,10,HOU 46,3,3,"Andrew Luck pass complete short left to Dwayne Allen for 6 yards (tackle by Kareem Jackson and Whitney Mercilus). Penalty on Joe Haeg: Offensive Holding, 10 yards (no play)",1.980,0.630
2,11:08,2,20,IND 44,3,3,Andrew Luck pass incomplete short middle intended for T.Y. Hilton,0.630,-0.030
2,11:04,3,20,IND 44,3,3,Andrew Luck pass complete short left to Jack Doyle for 12 yards (tackle by Kareem Jackson and A.J. Bouye),-0.030,0.330
2,10:14,4,8,HOU 44,3,3,"Penalty on Pat McAfee: Delay of Game, 5 yards (no play)",0.330,0.000
2,9:57,4,13,HOU 49,3,3,"Pat McAfee punts 49 yards, touchback",0.000,-0.280
2,9:45,1,10,HOU 20,3,3,Lamar Miller right guard for 8 yards (tackle by Erik Walden),0.280,0.810
2,9:13,2,2,HOU 28,3,3,Lamar Miller right guard for 7 yards (tackle by Edwin Jackson and Rashaan Melvin),0.810,1.270
2,8:39,1,10,HOU 35,3,3,Lamar Miller left end for 6 yards (tackle by Rashaan Melvin),1.270,1.530
