Quarter,Time,Tm,Detail,HOU,IND
1.0,8:31,Colts,Adam Vinatieri 32 yard field goal,0,3
,4:00,Texans,Nick Novak 21 yard field goal,3,3
2.0,2:26,Texans,Lamar Miller 2 yard rush (Nick Novak kick),10,3
,0:12,Texans,Nick Novak 52 yard field goal,13,3
3.0,12:46,Texans,Nick Novak 24 yard field goal,16,3
,9:53,Colts,Frank Gore 18 yard pass from Andrew Luck (Adam Vinatieri kick),16,10
4.0,11:53,Texans,Nick Novak 41 yard field goal,19,10
,9:06,Colts,T.Y. Hilton 35 yard pass from Andrew Luck (Adam Vinatieri kick),19,17
,2:47,Texans,Nick Novak 34 yard field goal,22,17
