Quarter,Time,Down,ToGo,Location,TEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback. Penalty on Ibraheim Campbell: Offside on Free Kick, 5 yards",0.000,-0.940
1,15:00,1,10,TEN 30,0,0,Marcus Mariota pass complete short middle to Rishard Matthews for 18 yards (tackle by Ibraheim Campbell),0.940,2.130
1,14:26,1,10,TEN 48,0,0,DeMarco Murray left guard for 9 yards (tackle by Derrick Kindred),2.130,2.800
1,13:46,2,1,CLE 43,0,0,DeMarco Murray right tackle for no gain (tackle by Danny Shelton and Jamie Collins),2.800,2.080
1,13:00,3,1,CLE 43,0,0,Derrick Henry left tackle for 2 yards (tackle by Christian Kirksey and Myles Garrett),2.080,2.850
1,12:24,1,10,CLE 41,0,0,DeMarco Murray right guard for 8 yards (tackle by Emmanuel Ogbah),2.850,3.390
1,11:50,2,2,CLE 33,0,0,Marcus Mariota pass complete short middle to Delanie Walker for 1 yard (tackle by Myles Garrett),3.390,2.810
1,11:11,3,1,CLE 32,0,0,Marcus Mariota pass incomplete deep left intended for Jonnu Smith. Penalty on Taylor Lewan: Face Mask (15 Yards) (Declined),2.810,1.310
1,11:03,4,1,CLE 32,0,0,"Derrick Henry right guard for no gain (tackle by Joe Schobert). Penalty on Danny Shelton: Defensive Offside, 5 yards (no play)",1.310,3.780
1,10:50,1,10,CLE 27,0,0,DeMarco Murray left end for 2 yards (tackle by Christian Kirksey),3.780,3.500
1,10:09,2,8,CLE 25,0,0,Derrick Henry right end for -5 yards (tackle by Christian Kirksey),3.500,2.150
1,9:25,3,13,CLE 30,0,0,Marcus Mariota pass complete short middle to Taywan Taylor for 5 yards (tackle by Joe Schobert),2.150,1.800
1,8:42,4,8,CLE 25,3,0,Ryan Succop 43 yard field goal good,1.800,3.000
1,8:38,,,TEN 35,3,0,"Ryan Succop kicks off 65 yards, touchback",0.000,-0.610
1,8:38,1,10,CLE 25,3,0,Isaiah Crowell right guard for 3 yards (tackle by DaQuan Jones),0.610,0.470
1,8:07,2,7,CLE 28,3,0,Isaiah Crowell left end for 6 yards (tackle by Avery Williamson),0.470,0.560
1,7:29,3,1,CLE 34,3,0,Isaiah Crowell left guard for no gain (tackle by Brian Orakpo),0.560,-1.110
1,6:44,4,1,CLE 34,3,0,"Britton Colquitt punts 53 yards, returned by Adoree' Jackson for 12 yards (tackle by Sammie Coates)",-1.110,-0.610
1,6:32,1,10,TEN 25,3,0,Marcus Mariota pass complete short right to Jonnu Smith for 8 yards (tackle by Christian Kirksey and Jamar Taylor),0.610,1.140
1,5:56,2,2,TEN 33,3,0,Derrick Henry left guard for no gain (tackle by Nate Orchard and Larry Ogunjobi),1.140,0.430
1,5:20,3,2,TEN 33,3,0,Marcus Mariota pass incomplete short right intended for Rishard Matthews (defended by Briean Boddy-Calhoun),0.430,-1.180
1,5:14,4,2,TEN 33,3,0,"Brett Kern punts 55 yards, returned by Bryce Treggs for no gain. Penalty on Ibraheim Campbell: Offensive Holding, 6 yards",-1.180,0.380
1,5:08,1,10,CLE 6,3,0,DeShone Kizer pass complete short left to Ricardo Louis for 3 yards (tackle by LeShaun Sims),-0.380,-0.560
